iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
355,2564.8803878982976,2023-01-28 15:24:35.745346,2023-01-28 15:24:48.069432,0 days 00:00:12.324086,9,0.79,9,600,500,325,0.9,COMPLETE
312,2565.061934322545,2023-01-28 15:10:07.524012,2023-01-28 15:10:20.788165,0 days 00:00:13.264153,9,0.79,11,600,750,350,0.95,COMPLETE
236,2565.1933332870008,2023-01-28 14:40:35.852268,2023-01-28 14:40:48.739858,0 days 00:00:12.887590,9,0.79,11,600,750,325,0.95,COMPLETE
378,2565.244901144432,2023-01-28 15:32:00.723016,2023-01-28 15:32:13.213720,0 days 00:00:12.490704,9,0.79,11,600,750,350,0.95,COMPLETE
263,2565.3187177610957,2023-01-28 14:50:28.974187,2023-01-28 14:50:43.013710,0 days 00:00:14.039523,9,0.79,10,600,750,325,0.95,COMPLETE
55,2565.3948310330575,2023-01-28 13:33:38.204805,2023-01-28 13:33:51.878334,0 days 00:00:13.673529,8,0.79,9,550,1000,325,0.95,COMPLETE
36,2565.504265883326,2023-01-28 13:25:34.046437,2023-01-28 13:25:50.764312,0 days 00:00:16.717875,8,0.79,10,600,750,325,0.95,COMPLETE
346,2566.1316103789604,2023-01-28 15:21:49.591874,2023-01-28 15:22:02.450863,0 days 00:00:12.858989,9,0.79,10,600,750,325,0.95,COMPLETE
248,2566.5686725675414,2023-01-28 14:45:15.597651,2023-01-28 14:45:30.590093,0 days 00:00:14.992442,9,0.79,9,525,750,325,0.95,COMPLETE
336,2566.637936430192,2023-01-28 15:18:30.860540,2023-01-28 15:18:42.697868,0 days 00:00:11.837328,9,0.79,9,525,750,325,0.95,COMPLETE
11,2566.827470578571,2023-01-28 13:16:25.279772,2023-01-28 13:16:36.358949,0 days 00:00:11.079177,10,0.79,11,500,1000,375,0.95,COMPLETE
6,2566.892664563814,2023-01-28 13:14:54.735543,2023-01-28 13:15:05.737838,0 days 00:00:11.002295,8,0.77,9,525,500,325,0.9,COMPLETE
60,2566.9595637870098,2023-01-28 13:35:26.283137,2023-01-28 13:35:53.477903,0 days 00:00:27.194766,9,0.81,10,575,1000,350,0.95,COMPLETE
491,2567.4482784643756,2023-01-28 16:10:07.718874,2023-01-28 16:10:22.176293,0 days 00:00:14.457419,9,0.79,9,525,750,325,0.95,COMPLETE
37,2567.5700820177,2023-01-28 13:25:57.721826,2023-01-28 13:26:11.016832,0 days 00:00:13.295006,8,0.77,10,575,500,325,0.9,COMPLETE
12,2567.8800247898057,2023-01-28 13:16:40.393322,2023-01-28 13:16:54.836749,0 days 00:00:14.443427,10,0.81,9,525,1000,375,0.95,COMPLETE
98,2567.8915424183065,2023-01-28 13:50:31.096459,2023-01-28 13:50:47.321386,0 days 00:00:16.224927,10,0.81,9,525,750,350,0.95,COMPLETE
450,2568.2471973318634,2023-01-28 15:57:04.569646,2023-01-28 15:57:19.824281,0 days 00:00:15.254635,9,0.79,10,600,750,350,0.95,COMPLETE
409,2568.933123475538,2023-01-28 15:43:05.125843,2023-01-28 15:43:17.508229,0 days 00:00:12.382386,9,0.79,10,600,750,325,0.95,COMPLETE
30,2569.127453370271,2023-01-28 13:22:57.682393,2023-01-28 13:23:09.701445,0 days 00:00:12.019052,8,0.77,9,600,1000,350,0.85,COMPLETE
484,2569.3918683826582,2023-01-28 16:07:54.674186,2023-01-28 16:08:07.093917,0 days 00:00:12.419731,9,0.79,9,600,750,325,0.9,COMPLETE
256,2569.3956409501566,2023-01-28 14:48:20.871287,2023-01-28 14:48:35.068555,0 days 00:00:14.197268,9,0.79,9,600,750,325,0.9,COMPLETE
10,2569.6188594157566,2023-01-28 13:16:05.971188,2023-01-28 13:16:20.779580,0 days 00:00:14.808392,9,0.79,9,525,1000,350,0.95,COMPLETE
419,2569.639257750421,2023-01-28 15:46:29.379021,2023-01-28 15:46:43.583809,0 days 00:00:14.204788,9,0.79,9,525,750,400,0.95,COMPLETE
99,2569.7759791451335,2023-01-28 13:50:53.963378,2023-01-28 13:51:06.598887,0 days 00:00:12.635509,9,0.77,9,600,750,325,0.85,COMPLETE
439,2570.183287004958,2023-01-28 15:53:12.898497,2023-01-28 15:53:25.899596,0 days 00:00:13.001099,9,0.79,11,600,750,350,0.95,COMPLETE
438,2570.854198895539,2023-01-28 15:52:52.758770,2023-01-28 15:53:06.110016,0 days 00:00:13.351246,9,0.79,9,600,750,325,0.9,COMPLETE
49,2571.0425866810547,2023-01-28 13:30:59.162174,2023-01-28 13:31:13.770053,0 days 00:00:14.607879,8,0.79,10,600,1000,375,0.95,COMPLETE
208,2571.4303122477104,2023-01-28 14:30:38.339691,2023-01-28 14:30:50.156095,0 days 00:00:11.816404,9,0.79,10,600,750,325,0.95,COMPLETE
26,2572.301917705982,2023-01-28 13:21:20.606327,2023-01-28 13:21:35.037029,0 days 00:00:14.430702,8,0.77,9,600,1000,350,0.85,COMPLETE
46,2572.545533135365,2023-01-28 13:29:57.706749,2023-01-28 13:30:12.964486,0 days 00:00:15.257737,8,0.79,10,600,750,375,0.95,COMPLETE
110,2572.751811208842,2023-01-28 13:55:03.796810,2023-01-28 13:55:14.315833,0 days 00:00:10.519023,9,0.79,10,600,750,325,0.95,COMPLETE
281,2572.780038431605,2023-01-28 14:57:35.004278,2023-01-28 14:58:14.442931,0 days 00:00:39.438653,9,0.79,10,600,750,325,0.95,COMPLETE
29,2573.4328859441207,2023-01-28 13:22:33.041732,2023-01-28 13:22:50.799393,0 days 00:00:17.757661,8,0.77,9,575,1000,300,0.85,COMPLETE
384,2573.7104295299196,2023-01-28 15:34:19.330013,2023-01-28 15:34:32.026044,0 days 00:00:12.696031,9,0.77,9,600,750,350,0.85,COMPLETE
15,2575.343541620971,2023-01-28 13:17:34.085271,2023-01-28 13:17:45.829383,0 days 00:00:11.744112,10,0.79,10,550,1000,325,0.95,COMPLETE
13,2576.8214587104817,2023-01-28 13:17:00.822791,2023-01-28 13:17:12.346760,0 days 00:00:11.523969,9,0.79,10,500,1000,375,0.95,COMPLETE
337,2576.825800230516,2023-01-28 15:18:49.689052,2023-01-28 15:19:01.748985,0 days 00:00:12.059933,9,0.79,10,500,750,325,0.95,COMPLETE
5,2578.394020030503,2023-01-28 13:14:35.063327,2023-01-28 13:14:48.342717,0 days 00:00:13.279390,10,0.77,11,600,750,400,0.95,COMPLETE
249,2578.903881967511,2023-01-28 14:45:36.737365,2023-01-28 14:45:56.999312,0 days 00:00:20.261947,9,0.79,9,600,750,325,0.85,COMPLETE
2,2579.691801397011,2023-01-28 13:13:36.916806,2023-01-28 13:13:48.573008,0 days 00:00:11.656202,10,0.81,10,600,750,300,0.9,COMPLETE
315,2581.7294933198273,2023-01-28 15:11:09.018652,2023-01-28 15:11:47.817053,0 days 00:00:38.798401,9,0.79,9,600,750,350,0.85,COMPLETE
3,2581.9040515330157,2023-01-28 13:13:55.212919,2023-01-28 13:14:09.724245,0 days 00:00:14.511326,8,0.79,11,575,750,350,0.95,COMPLETE
440,2584.131225724941,2023-01-28 15:53:35.035078,2023-01-28 15:53:47.946574,0 days 00:00:12.911496,9,0.79,9,600,750,325,0.85,COMPLETE
14,2585.1477605778164,2023-01-28 13:17:16.946825,2023-01-28 13:17:29.386660,0 days 00:00:12.439835,9,0.81,11,525,750,350,0.9,COMPLETE
16,2587.5936814601723,2023-01-28 13:17:50.464103,2023-01-28 13:18:07.860424,0 days 00:00:17.396321,8,0.81,11,500,750,375,0.9,COMPLETE
77,2588.1801212415567,2023-01-28 13:42:55.936105,2023-01-28 13:43:12.171240,0 days 00:00:16.235135,8,0.77,11,575,750,375,0.85,COMPLETE
39,2588.516394964414,2023-01-28 13:26:40.811503,2023-01-28 13:27:04.567920,0 days 00:00:23.756417,8,0.79,9,600,750,300,0.85,COMPLETE
9,2588.8353382859777,2023-01-28 13:15:47.472349,2023-01-28 13:15:59.938624,0 days 00:00:12.466275,9,0.81,11,575,750,400,0.85,COMPLETE
7,2590.219144894411,2023-01-28 13:15:11.964632,2023-01-28 13:15:22.602868,0 days 00:00:10.638236,8,0.81,10,500,500,300,0.9,COMPLETE
0,2592.987720197056,2023-01-28 13:12:57.684010,2023-01-28 13:13:12.559451,0 days 00:00:14.875441,8,0.77,10,500,500,325,0.85,COMPLETE
8,2595.429538070384,2023-01-28 13:15:29.233377,2023-01-28 13:15:40.658550,0 days 00:00:11.425173,9,0.79,10,550,500,325,0.85,COMPLETE
