iter	Passed	Remaining
159	1333	2508
160	1341	2499
161	1349	2490
162	1357	2481
163	1364	2471
164	1372	2461
165	1379	2451
166	1388	2444
167	1396	2435
168	1404	2427
169	1412	2417
170	1420	2408
171	1428	2399
172	1436	2391
173	1444	2383
174	1452	2374
175	1460	2364
176	1467	2355
177	1475	2346
178	1483	2336
179	1491	2327
180	1498	2318
181	1506	2310
182	1514	2301
183	1522	2292
184	1530	2283
185	1538	2275
186	1546	2265
187	1554	2257
188	1563	2249
189	1571	2240
190	1579	2232
191	1587	2223
192	1595	2214
193	1602	2206
194	1610	2197
195	1618	2188
196	1626	2180
197	1635	2172
198	1643	2163
199	1650	2154
200	1658	2145
201	1666	2136
202	1673	2127
203	1682	2119
204	1690	2110
205	1698	2102
206	1706	2094
207	1714	2085
208	1722	2077
209	1730	2068
210	1739	2060
211	1747	2052
212	1755	2043
213	1763	2035
214	1771	2026
215	1779	2018
216	1787	2009
217	1795	2001
218	1803	1993
219	1811	1984
220	1819	1976
221	1828	1968
222	1836	1960
223	1844	1951
224	1852	1942
225	1859	1933
226	1867	1925
227	1875	1916
228	1883	1907
229	1891	1899
230	1898	1890
231	1906	1882
232	1914	1873
233	1922	1865
234	1930	1856
235	1938	1848
236	1946	1839
237	1954	1831
238	1962	1823
239	1970	1814
240	1978	1806
241	1987	1798
242	1995	1789
243	2003	1781
244	2011	1773
245	2018	1764
246	2027	1756
247	2035	1748
248	2043	1739
249	2051	1731
250	2059	1723
251	2067	1714
252	2075	1706
253	2083	1698
254	2091	1689
255	2099	1681
256	2108	1674
257	2117	1665
258	2125	1657
259	2133	1649
260	2141	1641
261	2149	1633
262	2158	1624
263	2167	1617
264	2175	1608
265	2182	1600
266	2191	1592
267	2199	1583
268	2207	1575
269	2215	1567
270	2223	1558
271	2231	1550
272	2238	1541
273	2247	1533
274	2255	1525
275	2263	1517
276	2272	1509
277	2280	1500
278	2288	1492
279	2296	1484
280	2304	1475
281	2312	1467
282	2320	1459
283	2328	1451
284	2335	1442
285	2343	1434
286	2351	1425
287	2359	1417
288	2366	1408
289	2375	1400
290	2383	1392
291	2391	1383
292	2398	1375
293	2406	1366
294	2414	1358
295	2422	1350
296	2430	1341
297	2438	1333
298	2446	1325
299	2454	1317
300	2462	1308
301	2469	1300
302	2477	1291
303	2486	1283
304	2493	1275
305	2502	1267
306	2509	1258
307	2517	1250
308	2525	1242
309	2532	1233
310	2541	1225
311	2549	1217
312	2557	1209
313	2565	1200
314	2572	1192
315	2580	1184
316	2588	1175
317	2596	1167
318	2604	1159
319	2612	1151
320	2620	1142
321	2628	1134
322	2636	1126
323	2644	1118
324	2651	1109
325	2659	1101
326	2668	1093
327	2675	1084
328	2683	1076
329	2691	1068
330	2699	1060
331	2707	1052
332	2715	1043
333	2723	1035
334	2731	1027
335	2739	1019
336	2747	1010
337	2754	1002
338	2762	994
339	2770	986
340	2778	977
341	2786	969
342	2794	961
343	2802	953
344	2810	944
345	2817	936
346	2825	928
347	2834	920
348	2842	912
349	2850	904
350	2858	895
351	2867	887
352	2875	879
353	2883	871
354	2892	863
355	2900	855
356	2908	847
357	2916	839
358	2924	830
359	2932	822
360	2940	814
361	2947	806
362	2956	798
363	2964	789
364	2972	781
365	2980	773
366	2988	765
367	2995	757
368	3003	748
369	3011	740
370	3019	732
371	3028	724
372	3036	716
373	3044	708
374	3052	700
375	3061	692
376	3069	683
377	3077	675
378	3085	667
379	3093	659
380	3101	651
381	3110	643
382	3117	634
383	3125	626
384	3134	618
385	3142	610
386	3150	602
387	3158	594
388	3166	586
389	3174	577
390	3183	570
391	3191	561
392	3199	553
393	3207	545
394	3215	537
395	3223	529
396	3231	520
397	3238	512
398	3246	504
399	3253	496
400	3261	488
401	3269	479
402	3277	471
403	3285	463
404	3293	455
405	3301	447
406	3309	439
407	3317	430
408	3325	422
409	3333	414
410	3341	406
411	3349	398
412	3357	390
413	3365	382
414	3373	373
415	3380	365
416	3388	357
417	3396	349
418	3403	341
419	3411	333
420	3419	324
421	3427	316
422	3435	308
423	3443	300
424	3451	292
425	3459	284
426	3467	276
427	3475	267
428	3483	259
429	3491	251
430	3499	243
431	3507	235
432	3515	227
433	3523	219
434	3531	211
435	3538	202
436	3546	194
437	3554	186
438	3562	178
439	3570	170
440	3578	162
441	3586	154
442	3594	146
443	3602	137
444	3609	129
445	3618	121
446	3626	113
447	3636	105
448	3646	97
449	3654	89
450	3662	81
451	3670	73
452	3678	64
453	3685	56
454	3693	48
455	3701	40
456	3709	32
457	3717	24
458	3725	16
459	3733	8
460	3741	0
