iteration,rmse,datetime_start,datetime_complete,duration,metric,n_neighbors,state
93,4914.30810546875,2022-06-04 22:28:50.323979,2022-06-04 22:28:51.415906,0 days 00:00:01.091927,minkowski,7,COMPLETE
86,4914.30810546875,2022-06-04 22:28:42.677836,2022-06-04 22:28:43.754922,0 days 00:00:01.077086,minkowski,7,COMPLETE
25,4914.30810546875,2022-06-04 22:27:36.740574,2022-06-04 22:27:37.800912,0 days 00:00:01.060338,chebyshev,7,COMPLETE
49,4914.5732421875,2022-06-04 22:28:02.579115,2022-06-04 22:28:03.661970,0 days 00:00:01.082855,manhattan,17,COMPLETE
7,4914.5732421875,2022-06-04 22:27:17.303467,2022-06-04 22:27:18.370456,0 days 00:00:01.066989,manhattan,17,COMPLETE
35,4914.5732421875,2022-06-04 22:27:47.536846,2022-06-04 22:27:48.620754,0 days 00:00:01.083908,minkowski,17,COMPLETE
26,4914.5732421875,2022-06-04 22:27:37.801023,2022-06-04 22:27:38.864196,0 days 00:00:01.063173,chebyshev,17,COMPLETE
79,4918.9638671875,2022-06-04 22:28:35.061012,2022-06-04 22:28:36.157782,0 days 00:00:01.096770,minkowski,18,COMPLETE
39,4923.45654296875,2022-06-04 22:27:51.837878,2022-06-04 22:27:52.930334,0 days 00:00:01.092456,minkowski,19,COMPLETE
23,4923.45654296875,2022-06-04 22:27:34.601831,2022-06-04 22:27:35.675336,0 days 00:00:01.073505,manhattan,19,COMPLETE
55,4923.45654296875,2022-06-04 22:28:09.062749,2022-06-04 22:28:10.147617,0 days 00:00:01.084868,euclidean,19,COMPLETE
18,4935.53466796875,2022-06-04 22:27:29.225445,2022-06-04 22:27:30.315217,0 days 00:00:01.089772,chebyshev,21,COMPLETE
78,4935.53466796875,2022-06-04 22:28:33.968418,2022-06-04 22:28:35.060875,0 days 00:00:01.092457,minkowski,21,COMPLETE
8,4935.53466796875,2022-06-04 22:27:18.370586,2022-06-04 22:27:19.453879,0 days 00:00:01.083293,euclidean,21,COMPLETE
50,4937.24755859375,2022-06-04 22:28:03.662125,2022-06-04 22:28:04.740487,0 days 00:00:01.078362,chebyshev,6,COMPLETE
66,4937.24755859375,2022-06-04 22:28:20.937182,2022-06-04 22:28:22.010027,0 days 00:00:01.072845,minkowski,6,COMPLETE
63,4937.24755859375,2022-06-04 22:28:17.704013,2022-06-04 22:28:18.798630,0 days 00:00:01.094617,euclidean,6,COMPLETE
30,4948.77197265625,2022-06-04 22:27:42.153811,2022-06-04 22:27:43.237635,0 days 00:00:01.083824,minkowski,23,COMPLETE
15,4954.63134765625,2022-06-04 22:27:25.980380,2022-06-04 22:27:27.065482,0 days 00:00:01.085102,chebyshev,24,COMPLETE
19,4963.25439453125,2022-06-04 22:27:30.315413,2022-06-04 22:27:31.391580,0 days 00:00:01.076167,chebyshev,26,COMPLETE
60,4975.22119140625,2022-06-04 22:28:14.450607,2022-06-04 22:28:15.551550,0 days 00:00:01.100943,chebyshev,28,COMPLETE
36,4977.2412109375,2022-06-04 22:27:48.620868,2022-06-04 22:27:49.687790,0 days 00:00:01.066922,minkowski,5,COMPLETE
34,4977.2412109375,2022-06-04 22:27:46.469771,2022-06-04 22:27:47.536706,0 days 00:00:01.066935,minkowski,5,COMPLETE
22,4977.2412109375,2022-06-04 22:27:33.514169,2022-06-04 22:27:34.601723,0 days 00:00:01.087554,manhattan,5,COMPLETE
27,4985.43701171875,2022-06-04 22:27:38.864327,2022-06-04 22:27:39.957335,0 days 00:00:01.093008,manhattan,30,COMPLETE
2,4990.16796875,2022-06-04 22:27:11.975871,2022-06-04 22:27:13.051615,0 days 00:00:01.075744,euclidean,31,COMPLETE
89,4998.1318359375,2022-06-04 22:28:45.936515,2022-06-04 22:28:47.047286,0 days 00:00:01.110771,minkowski,33,COMPLETE
4,4998.1318359375,2022-06-04 22:27:14.090890,2022-06-04 22:27:15.188791,0 days 00:00:01.097901,minkowski,33,COMPLETE
29,5013.48046875,2022-06-04 22:27:41.054167,2022-06-04 22:27:42.153699,0 days 00:00:01.099532,minkowski,36,COMPLETE
97,5023.2822265625,2022-06-04 22:28:54.686182,2022-06-04 22:28:55.816016,0 days 00:00:01.129834,minkowski,38,COMPLETE
0,5023.2822265625,2022-06-04 22:27:09.736621,2022-06-04 22:27:10.908205,0 days 00:00:01.171584,manhattan,38,COMPLETE
40,5032.705078125,2022-06-04 22:27:52.930471,2022-06-04 22:27:53.979672,0 days 00:00:01.049201,chebyshev,4,COMPLETE
48,5047.3623046875,2022-06-04 22:28:01.458919,2022-06-04 22:28:02.578947,0 days 00:00:01.120028,minkowski,43,COMPLETE
9,5047.3623046875,2022-06-04 22:27:19.454030,2022-06-04 22:27:20.586628,0 days 00:00:01.132598,minkowski,43,COMPLETE
10,5072.7060546875,2022-06-04 22:27:20.586765,2022-06-04 22:27:21.730290,0 days 00:00:01.143525,euclidean,49,COMPLETE
98,5076.93310546875,2022-06-04 22:28:55.816185,2022-06-04 22:28:56.977282,0 days 00:00:01.161097,minkowski,50,COMPLETE
47,5152.73291015625,2022-06-04 22:28:00.401556,2022-06-04 22:28:01.458795,0 days 00:00:01.057239,chebyshev,3,COMPLETE
58,5152.73291015625,2022-06-04 22:28:12.314977,2022-06-04 22:28:13.362431,0 days 00:00:01.047454,chebyshev,3,COMPLETE
5,5152.73291015625,2022-06-04 22:27:15.188892,2022-06-04 22:27:16.246589,0 days 00:00:01.057697,chebyshev,3,COMPLETE
3,5152.73291015625,2022-06-04 22:27:13.051714,2022-06-04 22:27:14.090793,0 days 00:00:01.039079,minkowski,3,COMPLETE
