iteration,rmse,datetime_start,datetime_complete,duration,alpha,fit_intercept,max_iter,normalize,selection,tol,state
478,4744.65480875341,2023-02-25 23:20:42.347518,2023-02-25 23:20:43.901133,0 days 00:00:01.553615,0.5788544908636334,True,6142873,False,random,1.8030067108223816e-05,COMPLETE
296,4744.669057877955,2023-02-25 23:18:40.942495,2023-02-25 23:18:42.062486,0 days 00:00:01.119991,0.6031472162967526,True,4587938,False,cyclic,1.7691862852105443e-05,COMPLETE
367,4744.6760062950525,2023-02-25 23:19:18.903924,2023-02-25 23:19:19.541295,0 days 00:00:00.637371,0.41854607323320075,True,5622706,False,cyclic,0.0016144281790213847,COMPLETE
274,4744.715292748883,2023-02-25 23:18:29.237530,2023-02-25 23:18:30.136262,0 days 00:00:00.898732,0.6902053735728172,True,5019352,False,cyclic,0.00013493052229779443,COMPLETE
424,4744.715874955819,2023-02-25 23:20:04.991299,2023-02-25 23:20:06.251988,0 days 00:00:01.260689,0.6772692530038643,True,6113889,False,random,4.327074316085642e-05,COMPLETE
423,4744.718275361358,2023-02-25 23:20:03.716794,2023-02-25 23:20:04.990708,0 days 00:00:01.273914,0.6859954964267944,True,6160318,False,random,5.8112662258007e-05,COMPLETE
308,4744.72229034781,2023-02-25 23:18:46.891416,2023-02-25 23:18:48.043553,0 days 00:00:01.152137,0.6897409885653638,True,3822812,False,cyclic,1.8807976614170527e-05,COMPLETE
381,4744.7337122626905,2023-02-25 23:19:25.643728,2023-02-25 23:19:26.248653,0 days 00:00:00.604925,0.4864871401152803,True,6020498,False,cyclic,0.0018738428125301223,COMPLETE
282,4744.741250406492,2023-02-25 23:18:33.402344,2023-02-25 23:18:34.367930,0 days 00:00:00.965586,0.7240109972995004,True,4244644,False,cyclic,6.966173239171928e-05,COMPLETE
286,4744.751276380923,2023-02-25 23:18:35.851005,2023-02-25 23:18:36.764783,0 days 00:00:00.913778,0.7318367075581117,True,4191695,False,cyclic,8.61258445056847e-05,COMPLETE
243,4744.754805650525,2023-02-25 23:18:06.521761,2023-02-25 23:18:07.401473,0 days 00:00:00.879712,0.7385970438162766,True,4705013,False,cyclic,0.00013396467896751294,COMPLETE
280,4744.773094985728,2023-02-25 23:18:32.175595,2023-02-25 23:18:33.068125,0 days 00:00:00.892530,0.7637731559677408,True,4444459,False,cyclic,0.00011689944837246706,COMPLETE
337,4744.774098825438,2023-02-25 23:19:01.196810,2023-02-25 23:19:02.114448,0 days 00:00:00.917638,0.7618098337188783,True,5371106,False,cyclic,9.789135206293623e-05,COMPLETE
338,4744.775149365347,2023-02-25 23:19:02.114912,2023-02-25 23:19:03.156193,0 days 00:00:01.041281,0.7670202467420068,True,5314534,False,cyclic,2.5872585903755253e-05,COMPLETE
342,4744.7811339105865,2023-02-25 23:19:04.588209,2023-02-25 23:19:05.691631,0 days 00:00:01.103422,0.7756430700051481,True,6269237,False,cyclic,1.8051666794012536e-05,COMPLETE
236,4744.782607705846,2023-02-25 23:18:02.536379,2023-02-25 23:18:03.438311,0 days 00:00:00.901932,0.7844954677686738,True,5630673,False,cyclic,0.00010140507427987302,COMPLETE
514,4744.783327846137,2023-02-25 23:21:30.911666,2023-02-25 23:21:31.578816,0 days 00:00:00.667150,0.28332415119718196,True,6201810,False,random,0.0016221390345228443,COMPLETE
875,4744.784051513602,2023-02-25 23:29:10.890340,2023-02-25 23:29:11.739768,0 days 00:00:00.849428,0.03814318892647496,True,7224995,False,random,0.001656475882469459,COMPLETE
793,4744.786616013366,2023-02-25 23:27:29.516140,2023-02-25 23:27:30.399255,0 days 00:00:00.883115,0.028097161832212586,True,6887841,False,random,0.0017091965732584397,COMPLETE
885,4744.788031033229,2023-02-25 23:29:19.043391,2023-02-25 23:29:20.068646,0 days 00:00:01.025255,0.0032918017898962287,True,7514970,False,random,0.0017773497960694917,COMPLETE
953,4744.78861735044,2023-02-25 23:30:16.480393,2023-02-25 23:30:17.361372,0 days 00:00:00.880979,0.0015516918509304728,True,7652647,False,random,0.0017786308904610018,COMPLETE
224,4744.792503357783,2023-02-25 23:17:30.326069,2023-02-25 23:17:31.218576,0 days 00:00:00.892507,0.796446695909595,True,4658929,False,cyclic,7.363410806071328e-05,COMPLETE
920,4744.79260083733,2023-02-25 23:29:49.193521,2023-02-25 23:29:50.234064,0 days 00:00:01.040543,0.003482833920491417,True,7907973,False,random,0.001769688477822999,COMPLETE
242,4744.7931792680565,2023-02-25 23:18:05.834761,2023-02-25 23:18:06.521377,0 days 00:00:00.686616,0.7643178973846777,True,4587693,False,cyclic,0.00020905929823570823,COMPLETE
348,4744.794067805411,2023-02-25 23:19:07.894761,2023-02-25 23:19:08.518808,0 days 00:00:00.624047,0.5968906460643943,True,5198799,False,cyclic,0.001683116747990663,COMPLETE
333,4744.803671653932,2023-02-25 23:18:58.940693,2023-02-25 23:19:00.000284,0 days 00:00:01.059591,0.8060469581769216,True,5659075,False,cyclic,2.1248420771933976e-05,COMPLETE
225,4744.809909822058,2023-02-25 23:17:31.218942,2023-02-25 23:17:32.053402,0 days 00:00:00.834460,0.8144294982117456,True,4741204,False,cyclic,0.0001103839774599248,COMPLETE
254,4744.820029938645,2023-02-25 23:18:13.152739,2023-02-25 23:18:14.080490,0 days 00:00:00.927751,0.8318928171091584,True,4649722,False,cyclic,7.012612516169939e-05,COMPLETE
246,4744.82209867443,2023-02-25 23:18:08.233316,2023-02-25 23:18:09.219311,0 days 00:00:00.985995,0.828391715533574,True,4851775,False,cyclic,4.075791586159986e-05,COMPLETE
250,4744.823140013962,2023-02-25 23:18:10.422797,2023-02-25 23:18:11.568531,0 days 00:00:01.145734,0.8305254084777393,True,4593068,False,cyclic,1.3790089904702916e-05,COMPLETE
233,4744.823328573911,2023-02-25 23:18:00.693341,2023-02-25 23:18:01.354000,0 days 00:00:00.660659,0.8217945123490533,True,5294408,False,cyclic,0.0001413597759186728,COMPLETE
264,4744.82497588946,2023-02-25 23:18:24.655592,2023-02-25 23:18:25.591264,0 days 00:00:00.935672,0.8340610682815098,True,4682075,False,cyclic,8.840715603755927e-05,COMPLETE
301,4744.82705021329,2023-02-25 23:18:43.940112,2023-02-25 23:18:44.476150,0 days 00:00:00.536038,0.5865199385107418,True,5248030,False,cyclic,0.002341314349586605,COMPLETE
352,4744.827311273028,2023-02-25 23:19:09.700109,2023-02-25 23:19:10.296385,0 days 00:00:00.596276,0.6094025056782766,True,5395148,False,cyclic,0.002095508581772199,COMPLETE
261,4744.833142138715,2023-02-25 23:18:22.581206,2023-02-25 23:18:23.629709,0 days 00:00:01.048503,0.8378668913108286,True,4401914,False,cyclic,2.1045498244919416e-05,COMPLETE
