iteration,rmse,datetime_start,datetime_complete,duration,alpha,solver,state
969,4780.44580078125,2022-06-04 18:30:46.360015,2022-06-04 18:30:46.769571,0 days 00:00:00.409556,0.3156093576395196,svd,COMPLETE
896,4780.5263671875,2022-06-04 18:30:16.705941,2022-06-04 18:30:17.082727,0 days 00:00:00.376786,0.3183644525553908,svd,COMPLETE
936,4780.52978515625,2022-06-04 18:30:33.340151,2022-06-04 18:30:33.746256,0 days 00:00:00.406105,0.31846300868407473,svd,COMPLETE
435,4780.53369140625,2022-06-04 18:27:45.167570,2022-06-04 18:27:45.410149,0 days 00:00:00.242579,0.31859464869916987,svd,COMPLETE
62,4780.53564453125,2022-06-04 18:26:17.256319,2022-06-04 18:26:17.431063,0 days 00:00:00.174744,0.31862099047245157,svd,COMPLETE
719,4780.54345703125,2022-06-04 18:29:08.589018,2022-06-04 18:29:08.877335,0 days 00:00:00.288317,0.3188794737412928,svd,COMPLETE
860,4780.54638671875,2022-06-04 18:30:02.046144,2022-06-04 18:30:02.431089,0 days 00:00:00.384945,0.3190326293141253,svd,COMPLETE
893,4780.56884765625,2022-06-04 18:30:15.427394,2022-06-04 18:30:15.840050,0 days 00:00:00.412656,0.31976318286125033,svd,COMPLETE
195,4780.58544921875,2022-06-04 18:26:46.114762,2022-06-04 18:26:46.320796,0 days 00:00:00.206034,0.3203330981244416,svd,COMPLETE
301,4780.591796875,2022-06-04 18:27:10.647687,2022-06-04 18:27:10.862301,0 days 00:00:00.214614,0.3205602932463408,svd,COMPLETE
330,4780.591796875,2022-06-04 18:27:17.686384,2022-06-04 18:27:17.913976,0 days 00:00:00.227592,0.32054736076190427,svd,COMPLETE
756,4780.60791015625,2022-06-04 18:29:22.190470,2022-06-04 18:29:22.542564,0 days 00:00:00.352094,0.32106319039370446,svd,COMPLETE
41,4780.64501953125,2022-06-04 18:26:12.277403,2022-06-04 18:26:12.448712,0 days 00:00:00.171309,0.3223686536533308,svd,COMPLETE
247,4780.65283203125,2022-06-04 18:26:57.970997,2022-06-04 18:26:58.181408,0 days 00:00:00.210411,0.32266617810747544,svd,COMPLETE
871,4780.65673828125,2022-06-04 18:30:06.445081,2022-06-04 18:30:06.798938,0 days 00:00:00.353857,0.32276634988599684,svd,COMPLETE
674,4780.69921875,2022-06-04 18:28:55.009134,2022-06-04 18:28:55.310543,0 days 00:00:00.301409,0.3242324850052883,svd,COMPLETE
532,4780.7021484375,2022-06-04 18:28:12.249763,2022-06-04 18:28:12.584393,0 days 00:00:00.334630,0.3243825581564316,svd,COMPLETE
586,4780.72265625,2022-06-04 18:28:28.360079,2022-06-04 18:28:28.628497,0 days 00:00:00.268418,0.3250744119759422,svd,COMPLETE
921,4780.7578125,2022-06-04 18:30:26.926568,2022-06-04 18:30:27.281186,0 days 00:00:00.354618,0.32629772247389444,svd,COMPLETE
561,4780.7734375,2022-06-04 18:28:20.969490,2022-06-04 18:28:21.291458,0 days 00:00:00.321968,0.32681829554252234,svd,COMPLETE
691,4780.7900390625,2022-06-04 18:29:00.148356,2022-06-04 18:29:00.594656,0 days 00:00:00.446300,0.3274335164569905,svd,COMPLETE
605,4780.814453125,2022-06-04 18:28:33.762828,2022-06-04 18:28:34.044747,0 days 00:00:00.281919,0.3282649448060272,svd,COMPLETE
809,4780.82568359375,2022-06-04 18:29:42.510944,2022-06-04 18:29:42.881586,0 days 00:00:00.370642,0.3286989875684213,svd,COMPLETE
976,4780.83447265625,2022-06-04 18:30:49.333711,2022-06-04 18:30:49.671832,0 days 00:00:00.338121,0.3290404433653394,svd,COMPLETE
654,4780.83984375,2022-06-04 18:28:48.800877,2022-06-04 18:28:49.074925,0 days 00:00:00.274048,0.3291916655654156,svd,COMPLETE
685,4780.841796875,2022-06-04 18:28:58.198439,2022-06-04 18:28:58.472394,0 days 00:00:00.273955,0.32924982295872257,svd,COMPLETE
846,4780.85302734375,2022-06-04 18:29:56.586118,2022-06-04 18:29:56.961915,0 days 00:00:00.375797,0.3296553344785795,svd,COMPLETE
791,4780.8603515625,2022-06-04 18:29:35.379880,2022-06-04 18:29:35.729305,0 days 00:00:00.349425,0.32995160101802234,svd,COMPLETE
821,4780.884765625,2022-06-04 18:29:47.080672,2022-06-04 18:29:47.432622,0 days 00:00:00.351950,0.330842301914984,svd,COMPLETE
409,4780.884765625,2022-06-04 18:27:38.061423,2022-06-04 18:27:38.302143,0 days 00:00:00.240720,0.3308401987611934,svd,COMPLETE
925,4780.91845703125,2022-06-04 18:30:28.412265,2022-06-04 18:30:29.010116,0 days 00:00:00.597851,0.33202224529836527,svd,COMPLETE
834,4780.923828125,2022-06-04 18:29:52.040009,2022-06-04 18:29:52.413558,0 days 00:00:00.373549,0.3322216555494906,svd,COMPLETE
402,4780.93017578125,2022-06-04 18:27:36.419376,2022-06-04 18:27:36.652370,0 days 00:00:00.232994,0.3324469492075208,svd,COMPLETE
570,4780.9326171875,2022-06-04 18:28:23.715472,2022-06-04 18:28:23.985373,0 days 00:00:00.269901,0.3325099319104991,svd,COMPLETE
455,4780.94140625,2022-06-04 18:27:50.549630,2022-06-04 18:27:50.917452,0 days 00:00:00.367822,0.33285967304211794,svd,COMPLETE
814,4780.9658203125,2022-06-04 18:29:44.292385,2022-06-04 18:29:44.674545,0 days 00:00:00.382160,0.33372437648342546,svd,COMPLETE
644,4780.97216796875,2022-06-04 18:28:45.655216,2022-06-04 18:28:45.944068,0 days 00:00:00.288852,0.33398129570248364,svd,COMPLETE
902,4780.9873046875,2022-06-04 18:30:19.270849,2022-06-04 18:30:19.660073,0 days 00:00:00.389224,0.3345619253466533,svd,COMPLETE
888,4781.01904296875,2022-06-04 18:30:13.417288,2022-06-04 18:30:13.833021,0 days 00:00:00.415733,0.33573623665615926,svd,COMPLETE
