boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.6044873461231545,+,0.04828105968991297,12,0,177,0.2397234608512473,0.31602611507827544,0.6083648668840561,2407.8990685872905,411
gbdt,0.7983878576998648,+,0.0593086500210081,14,0,173,0.15197062905678188,0.5478684452764946,0.7997595664490871,2407.917098561956,70
gbdt,0.653495153500733,+,0.0831997883259847,12,0,145,0.24041703522468577,0.3040884494833866,0.7434917382082769,2408.67309989858,402
gbdt,0.6288559483259166,+,0.057014241645948066,12,0,161,0.6044543366793144,0.054876399844152074,0.9376796591294428,2409.158594530712,25
gbdt,0.5304766422335409,+,0.08865597656994686,14,0,128,0.1826430028927599,0.1058298810859157,0.648466784789022,2409.243215960897,327
gbdt,0.5144584609991286,+,0.044467706902317924,14,0,172,0.47613595770914807,0.33741133311678273,0.3342928996616547,2409.2557842343504,309
gbdt,0.5252231496829858,+,0.08074349702873071,14,0,140,0.19660912795444208,0.21740459547384974,0.3242964762402845,2409.2624919584155,344
gbdt,0.5553070441538364,+,0.11132581728341193,14,0,187,0.3918073828493091,0.4516046040918036,0.43959354666038136,2409.3267044907343,300
gbdt,0.7548544189316543,+,0.07871404236006241,14,0,144,0.3297604087649233,0.88716623188278,0.7228005130784178,2409.884041500001,148
gbdt,0.5169645374133366,+,0.04892171585004474,12,0,169,0.22199338721139725,0.28050861190346443,0.7335092555073883,2409.894897271656,355
gbdt,0.5448385513929844,+,0.09263789141181035,14,0,127,0.2919166422877935,0.3604181391636653,0.5448526228987296,2410.1635080385545,347
gbdt,0.7786787189442204,+,0.0850696769669093,10,0,173,0.12748391781079052,0.6025537987020293,0.7441915483164894,2410.1645161854253,203
gbdt,0.7196025374771777,+,0.09096917169059415,12,0,170,0.4007906538610667,0.15771826216426021,0.6427593993493038,2410.2582967420826,186
gbdt,0.5829570582030903,+,0.04059535680413581,13,0,182,0.29926254370740124,0.10358389188644516,0.6523936091949334,2410.31076691959,299
gbdt,0.5025863172673389,+,0.10009108014408674,14,0,188,0.49703821878085996,0.23564830806832887,0.40462414906144717,2410.835457642017,270
