depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
8,121,0.17197110685216474,0.2818169843070712,14,14,2612.816587656957,7
6,478,0.5652888259722222,0.129900796369027,11,18,2615.370525696054,97
6,302,0.419977446160683,0.20107736968585346,7,16,2621.48311778182,2
9,270,0.5389765201970868,0.07886838877361245,12,11,2633.2990761052765,13
8,141,0.4163807495651473,0.1974970444106806,12,6,2643.471370266817,12
6,289,0.6513374401636782,0.18302876327404285,3,4,2649.6563042970674,31
8,360,0.9952034088922272,0.07223708708620367,2,15,2652.8519803194868,34
7,353,0.4865985235585019,0.09374524365182209,5,12,2669.71993941252,27
7,178,0.029592847157287216,0.18755423589871054,6,16,2670.156969461566,60
7,229,0.09853187348329484,0.1378298012225032,12,5,2680.632579432646,93
9,277,0.676418574899322,0.05661811721034386,5,2,2706.702343828877,46
7,104,0.11381056696717652,0.2756248842486461,7,2,2717.012942211867,4
6,160,0.8729354091785827,0.2102163712419476,15,10,2755.02328791167,10
7,185,0.4276274894880984,0.12587075417856597,18,13,2764.134851410784,74
10,112,0.8401212166458492,0.08828530084843934,14,6,2769.7600206118323,80
6,294,0.3475315278688479,0.06906042587934111,2,15,2912.6794921169485,78
11,126,0.2978543383201014,0.03749772771576737,13,17,2955.548238547166,17
6,248,0.5005514065691906,0.06491769093843103,4,18,3005.6630395914344,62
9,184,0.9845567405170191,0.033525092227685176,14,10,3049.4847542141715,9
9,137,0.2104555056032319,0.03901610599384685,8,7,3121.6960113420923,50
6,123,0.4370546374267825,0.07694929405720655,2,15,3257.7847463943303,49
8,164,0.6167380363580748,0.0293659851379392,10,18,3299.7091776173083,65
8,276,0.4042159407667509,0.014663823745972443,5,12,3399.0911377829734,92
6,192,0.3262527785293697,0.0208084971279939,12,11,3780.916515342641,1
10,114,0.32551593101664567,0.015920804676778783,7,6,3910.474855264983,53
6,486,0.9219661265961662,0.004701026955067689,16,3,4320.022779100613,35
12,324,0.9989282442891266,0.0007362691979621028,12,3,7941.914365438653,51
