depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,random_state,task_type,loss,iteration
11,391,0.6525232665438297,0.10049771892141249,2,13,42,GPU,2496.325646684363,57
12,257,0.9604916048026482,0.22042758047922872,17,12,42,GPU,2497.67448396421,39
12,260,0.29382279437021036,0.13279886436785263,4,19,42,GPU,2497.762706718587,98
11,393,0.5720294580089229,0.09419749211145573,18,14,42,GPU,2497.875171319735,79
12,398,0.9065248730509008,0.18849296191900494,5,4,42,GPU,2498.1213814667435,84
12,228,0.5874353451377631,0.16583351305944732,12,18,42,GPU,2501.880285207192,27
12,222,0.7136252902740301,0.16177647337495438,11,19,42,GPU,2503.867594236473,77
12,208,0.855619804606172,0.1616578969744648,2,17,42,GPU,2506.811432378355,86
12,198,0.8787408052325817,0.24153745041543764,10,8,42,GPU,2507.5099496247267,19
12,479,0.08375128542254963,0.22280034621600234,4,17,42,GPU,2508.063137887289,11
9,440,0.9584219511616408,0.14565214936498982,13,10,42,GPU,2508.063141790124,51
11,299,0.9845199017491345,0.29036587164792826,10,5,42,GPU,2508.807416548904,22
12,190,0.33347988492261915,0.2374282266595836,13,19,42,GPU,2509.740743573953,96
11,319,0.8771688696781057,0.10609484642655806,2,2,42,GPU,2513.4964058500223,60
12,294,0.9240873198575613,0.26816538681243274,10,8,42,GPU,2514.2755968968795,21
10,474,0.5399510064144726,0.0810473372813508,15,13,42,GPU,2516.8793424416635,76
12,161,0.943464492170503,0.19496198435863055,19,16,42,GPU,2520.8623031317056,32
11,427,0.1931779043994004,0.06568889716858213,12,18,42,GPU,2523.8017241564457,64
11,386,0.6944422622522197,0.07617055656740324,3,13,42,GPU,2527.602910365739,58
12,146,0.8081079864427885,0.18318918028699407,6,16,42,GPU,2532.1971525671697,36
9,283,0.6971593620606031,0.17983561177527263,8,11,42,GPU,2533.242150191661,80
8,368,0.35261891905163123,0.1924053342823285,17,17,42,GPU,2533.2916058268565,55
12,169,0.6078216673144489,0.1559605790948704,3,2,42,GPU,2535.800612215416,43
12,423,0.036893739012101634,0.2789530333716346,13,19,42,GPU,2537.256661474126,97
11,469,0.9261519361981672,0.05671227759592172,14,12,42,GPU,2538.009380289522,61
12,113,0.9987007291844073,0.21927805876226902,19,16,42,GPU,2543.930068015221,33
8,417,0.7473371839297895,0.14550960007691383,11,13,42,GPU,2544.656631675403,82
9,230,0.8288455233249088,0.2140195807593618,10,2,42,GPU,2545.725633680163,89
7,378,0.7117919458977976,0.2538666694009615,5,6,42,GPU,2548.006200050017,4
12,155,0.8469690257876522,0.12416370048335935,15,14,42,GPU,2562.8838293560866,54
8,454,0.8641488019664045,0.1135673951750693,9,5,42,GPU,2565.693608875282,71
9,195,0.1362629723154707,0.19704061655871305,7,3,42,GPU,2566.949819680166,8
7,374,0.679147113959826,0.184554764662946,6,19,42,GPU,2575.2042363161663,45
10,194,0.7942523718655723,0.14388081383219906,14,4,42,GPU,2576.4499778589225,10
7,452,0.4223093899120325,0.13948734226890416,4,6,42,GPU,2585.658033066831,65
8,373,0.2586390005643981,0.11382554406089827,7,14,42,GPU,2588.1274926321707,18
6,383,0.22731696529929168,0.2452954654192327,14,9,42,GPU,2592.2804105657306,3
6,384,0.02346812037041196,0.2592150294125598,19,3,42,GPU,2595.638723993447,53
8,174,0.52011075176259,0.2691761836295471,5,4,42,GPU,2597.789797900739,40
9,273,0.9597341519927778,0.10286561590746196,10,10,42,GPU,2600.39950604188,72
9,160,0.9072671379390094,0.1711611699499516,18,11,42,GPU,2614.694473466412,35
10,436,0.755260183005259,0.045162735110035435,19,13,42,GPU,2618.3924644533795,41
6,392,0.08457968056603436,0.18063466150823257,4,10,42,GPU,2624.470284130953,5
10,308,0.4515146260715073,0.06065388887440718,17,12,42,GPU,2624.606384506872,85
9,361,0.7398099237562502,0.06491103103501396,4,9,42,GPU,2630.477618168135,7
7,403,0.08598088275934118,0.10920502484550963,2,10,42,GPU,2631.507613050438,20
8,256,0.13405560277217976,0.12495052616635956,11,6,42,GPU,2633.785720805782,91
11,164,0.4467275932966749,0.0866152089494427,9,19,42,GPU,2636.2640969440235,28
11,145,0.5553952685217202,0.0956973382200548,11,7,42,GPU,2647.446982141488,24
10,126,0.3719811054478253,0.1400064731868153,11,7,42,GPU,2650.9663305816343,25
8,157,0.6617497960715975,0.15711091257246984,8,4,42,GPU,2690.547613126425,1
6,255,0.633701468593381,0.203407380908348,15,2,42,GPU,2697.808437314005,13
8,428,0.29964733165439794,0.05338542051621663,18,9,42,GPU,2698.609888670046,48
11,301,0.8169919127439855,0.036263874890420295,2,13,42,GPU,2708.165904373177,59
8,316,0.413773504635298,0.0627230096428908,15,6,42,GPU,2731.18924924886,17
6,178,0.3622737046849263,0.2264409153219871,14,15,42,GPU,2731.460218843599,90
7,193,0.7299223832192124,0.13085845255549786,8,3,42,GPU,2763.033798359942,37
7,494,0.26182246793509445,0.04777655047514792,12,13,42,GPU,2775.4831052344102,88
8,235,0.47680756936173413,0.0705034151967974,3,12,42,GPU,2790.667959198296,9
