iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
30,5609.318523152705,2023-02-25 23:51:03.059033,2023-02-25 23:51:03.368204,0 days 00:00:00.309171,5.0,0.000458790329940718,0.1,0.002202897914210286,16,6078,epsilon_insensitive,2582594,False,l2,COMPLETE
78,5612.544747396415,2023-02-25 23:51:36.032963,2023-02-25 23:51:36.566397,0 days 00:00:00.533434,5.8,7.462245824984228e-05,1.0,0.010415956545143334,16,9657,epsilon_insensitive,7134023,True,l1,COMPLETE
94,5629.411485038888,2023-02-25 23:51:49.431941,2023-02-25 23:51:49.936041,0 days 00:00:00.504100,4.1,9.247842530183973e-05,0.9,0.01094727268534687,9,2321,epsilon_insensitive,7362923,True,l1,COMPLETE
59,5632.396006701298,2023-02-25 23:51:16.413166,2023-02-25 23:51:16.836248,0 days 00:00:00.423082,9.1,0.0002588871944124541,0.7000000000000001,0.013629723405081173,19,4804,epsilon_insensitive,8526604,True,l1,COMPLETE
57,5649.757699529684,2023-02-25 23:51:15.742810,2023-02-25 23:51:16.120045,0 days 00:00:00.377235,7.3,0.0001485299191385784,0.5,0.005267934757658898,18,5688,epsilon_insensitive,7783873,True,l1,COMPLETE
53,5650.62121996632,2023-02-25 23:51:13.781277,2023-02-25 23:51:14.135507,0 days 00:00:00.354230,8.5,0.00024777518219509776,0.5,0.007641122143403367,18,6481,epsilon_insensitive,4830112,True,l1,COMPLETE
88,5658.660793218576,2023-02-25 23:51:43.430457,2023-02-25 23:51:43.848880,0 days 00:00:00.418423,5.7,6.250723880586701e-05,0.7000000000000001,0.006636514257230357,17,3718,epsilon_insensitive,6012414,True,l1,COMPLETE
33,5667.168949409207,2023-02-25 23:51:03.926759,2023-02-25 23:51:04.176742,0 days 00:00:00.249983,4.5,0.0003937121218491155,0.2,0.0031800861565794473,17,7518,epsilon_insensitive,3480155,False,l2,COMPLETE
37,5677.414175460206,2023-02-25 23:51:06.175312,2023-02-25 23:51:06.511353,0 days 00:00:00.336041,6.6,0.0002878542420469243,0.4,0.009198067377071382,19,9082,epsilon_insensitive,6227381,True,l1,COMPLETE
63,5677.516088385036,2023-02-25 23:51:18.842845,2023-02-25 23:51:19.290704,0 days 00:00:00.447859,10.0,0.0001253054823455448,0.4,0.01034557964265906,19,6578,epsilon_insensitive,6879898,True,l1,COMPLETE
49,5683.627306308311,2023-02-25 23:51:11.899488,2023-02-25 23:51:12.254098,0 days 00:00:00.354610,7.0,0.0002983592955065601,0.30000000000000004,0.015115967059190433,17,7838,epsilon_insensitive,5463055,True,l1,COMPLETE
31,6564.417029395517,2023-02-25 23:51:03.368498,2023-02-25 23:51:03.617779,0 days 00:00:00.249281,4.7,0.00043770292155509796,0.1,0.007517733473392636,16,7344,epsilon_insensitive,2455696,False,l2,COMPLETE
