iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,max_iter,penatly,state
412,5001.438179310231,2023-02-25 23:54:56.521814,2023-02-25 23:54:57.390818,0 days 00:00:00.869004,10.3,0.0001556094302016455,1.2,0.005739013028088314,10,2756,1915166,l1,COMPLETE
374,5001.908362356108,2023-02-25 23:54:35.409228,2023-02-25 23:54:36.121490,0 days 00:00:00.712262,11.5,0.0007061285543663469,1.2,0.004452005890731763,10,2746,1344720,l1,COMPLETE
484,5002.463645721046,2023-02-25 23:55:36.886959,2023-02-25 23:55:37.687594,0 days 00:00:00.800635,11.2,0.00014088783672700056,1.2,0.011304913141690378,10,2858,1910068,l1,COMPLETE
371,5002.48785923448,2023-02-25 23:54:33.184917,2023-02-25 23:54:33.918125,0 days 00:00:00.733208,11.5,0.0002347067586219298,1.2,0.0043934621340369386,10,2742,1337300,l1,COMPLETE
369,5002.48785923448,2023-02-25 23:54:31.549266,2023-02-25 23:54:32.491308,0 days 00:00:00.942042,11.5,0.00036473191781703686,1.2,0.004141120101034467,10,2736,1373389,l1,COMPLETE
368,5002.48785923448,2023-02-25 23:54:30.875059,2023-02-25 23:54:31.548771,0 days 00:00:00.673712,11.5,0.00022551373054229018,1.2,0.003918766086741997,10,2740,1333755,l1,COMPLETE
372,5002.48785923448,2023-02-25 23:54:33.918670,2023-02-25 23:54:34.669933,0 days 00:00:00.751263,11.5,0.00011756623582205735,1.2,0.004381271598232251,10,2720,1362362,l1,COMPLETE
366,5002.48785923448,2023-02-25 23:54:29.753391,2023-02-25 23:54:30.432566,0 days 00:00:00.679175,11.5,0.00010771501569236861,1.2,0.004024218425002141,10,2784,1641513,l1,COMPLETE
365,5002.48785923448,2023-02-25 23:54:29.081843,2023-02-25 23:54:29.752868,0 days 00:00:00.671025,11.5,0.00032988046413543463,1.2,0.0036183512784329756,10,2794,1596079,l1,COMPLETE
373,5002.48785923448,2023-02-25 23:54:34.670429,2023-02-25 23:54:35.408682,0 days 00:00:00.738253,11.5,0.00014716673572755893,1.2,0.0040789202689265345,10,2778,1383606,l1,COMPLETE
364,5002.48785923448,2023-02-25 23:54:28.402151,2023-02-25 23:54:29.081370,0 days 00:00:00.679219,11.5,0.000385849554210292,1.2,0.0038546131717388994,10,2794,1635606,l1,COMPLETE
363,5002.48785923448,2023-02-25 23:54:27.726837,2023-02-25 23:54:28.401672,0 days 00:00:00.674835,11.5,0.00022975113506469884,1.2,0.003711353510106941,10,2803,1690358,l1,COMPLETE
378,5002.48785923448,2023-02-25 23:54:38.046302,2023-02-25 23:54:38.783304,0 days 00:00:00.737002,11.5,0.00025796377738325325,1.2,0.004557998075191842,10,2710,1421696,l1,COMPLETE
360,5002.48785923448,2023-02-25 23:54:25.604955,2023-02-25 23:54:26.306988,0 days 00:00:00.702033,11.5,0.00023759454489251895,1.2,0.003457844738554102,10,2797,1661522,l1,COMPLETE
370,5002.48785923448,2023-02-25 23:54:32.492219,2023-02-25 23:54:33.183079,0 days 00:00:00.690860,11.5,0.0003013500065923966,1.2,0.004209579056788016,10,2733,1358652,l1,COMPLETE
362,5002.48785923448,2023-02-25 23:54:27.008194,2023-02-25 23:54:27.726336,0 days 00:00:00.718142,11.5,0.00017226355870156957,1.2,0.0035690746993696783,10,2799,1638922,l1,COMPLETE
375,5002.48785923448,2023-02-25 23:54:36.121968,2023-02-25 23:54:36.844026,0 days 00:00:00.722058,11.5,0.00036169867626407434,1.2,0.004265965358820082,10,2723,1319957,l1,COMPLETE
472,5002.48785923448,2023-02-25 23:55:30.161925,2023-02-25 23:55:30.967294,0 days 00:00:00.805369,11.5,0.0001390138547524437,1.2,0.004354214297002504,10,2838,2281603,l1,COMPLETE
351,5002.620998380627,2023-02-25 23:54:20.412786,2023-02-25 23:54:21.113510,0 days 00:00:00.700724,11.100000000000001,0.0007774139494293639,1.2,0.00025430476368407215,10,2842,996339,l1,COMPLETE
376,5004.475654899715,2023-02-25 23:54:36.844548,2023-02-25 23:54:37.562526,0 days 00:00:00.717978,11.5,0.00030545555208628494,1.2,0.0057616161951942295,10,2726,1394335,l1,COMPLETE
353,5009.221294138613,2023-02-25 23:54:21.559721,2023-02-25 23:54:22.269499,0 days 00:00:00.709778,11.2,0.00044845969673127815,1.2,0.0019879674328603194,10,2800,1655459,l1,COMPLETE
566,5009.529221854051,2023-02-25 23:56:28.859208,2023-02-25 23:56:29.797696,0 days 00:00:00.938488,7.3,0.00015142309859551755,1.2,0.005302769867686254,10,2749,1793684,l1,COMPLETE
859,5009.608318342526,2023-02-26 00:00:14.944058,2023-02-26 00:00:16.012383,0 days 00:00:01.068325,11.3,0.00215981985510189,1.3,0.004203807919205084,17,2633,2839061,l1,COMPLETE
381,5009.636932232569,2023-02-25 23:54:39.985490,2023-02-25 23:54:40.680567,0 days 00:00:00.695077,11.3,0.00011104297232700526,1.2,0.004579511751505503,10,2764,1774631,l1,COMPLETE
341,5013.270885494739,2023-02-25 23:54:11.833847,2023-02-25 23:54:12.726717,0 days 00:00:00.892870,11.100000000000001,0.0006132799295388504,1.2,0.00019981770760147972,11,2845,2768332,l1,COMPLETE
342,5014.397047891504,2023-02-25 23:54:12.727362,2023-02-25 23:54:13.719011,0 days 00:00:00.991649,11.100000000000001,0.0007524749968528519,1.2,0.00016200221662917257,11,2836,2778129,l1,COMPLETE
323,5014.6660823788925,2023-02-25 23:53:59.576351,2023-02-25 23:54:00.294821,0 days 00:00:00.718470,11.7,0.004204112415184205,1.3,0.00013293839810970138,11,2885,2666857,l1,COMPLETE
990,5016.55465265635,2023-02-26 00:02:10.269818,2023-02-26 00:02:11.265585,0 days 00:00:00.995767,10.9,0.00011163591217215024,1.2,0.006267844223953149,10,2991,2293771,l1,COMPLETE
866,5017.467252318104,2023-02-26 00:00:21.837258,2023-02-26 00:00:22.920052,0 days 00:00:01.082794,11.9,0.002015870286120762,1.1,0.0020433933361444553,16,2909,1058438,l1,COMPLETE
398,5018.249312222406,2023-02-25 23:54:49.200987,2023-02-25 23:54:49.913579,0 days 00:00:00.712592,10.9,0.00013742075424394244,1.2,0.003325106662529208,10,2740,1316461,l1,COMPLETE
660,5018.6201825309845,2023-02-25 23:57:32.466263,2023-02-25 23:57:33.488382,0 days 00:00:01.022119,10.4,0.00013807961314531159,1.1,0.003132475589894773,11,2791,2419728,l1,COMPLETE
343,5021.400734388563,2023-02-25 23:54:13.719757,2023-02-25 23:54:14.577768,0 days 00:00:00.858011,10.6,0.0008121695426298544,1.2,0.0022986965046472643,11,2837,2789098,l1,COMPLETE
675,5023.562606438188,2023-02-25 23:57:43.883998,2023-02-25 23:57:44.875267,0 days 00:00:00.991269,11.3,0.00016174671734069758,1.2,0.003374164662481763,22,2830,1969771,l1,COMPLETE
326,5023.579853413055,2023-02-25 23:54:01.688221,2023-02-25 23:54:02.385733,0 days 00:00:00.697512,11.7,0.003862988963389574,1.3,0.00014648254823799507,11,2855,2680167,l1,COMPLETE
325,5023.579853413055,2023-02-25 23:54:01.003297,2023-02-25 23:54:01.687787,0 days 00:00:00.684490,11.7,0.003440929062659414,1.3,0.001835697363279076,11,2868,2600849,l1,COMPLETE
322,5024.763934699995,2023-02-25 23:53:58.849855,2023-02-25 23:53:59.575876,0 days 00:00:00.726021,11.600000000000001,0.004010742020427298,1.3,0.002887328180436392,11,2869,2667223,l1,COMPLETE
389,5026.499316109217,2023-02-25 23:54:44.075246,2023-02-25 23:54:44.967978,0 days 00:00:00.892732,11.5,0.00013985544147047116,1.1,0.0044211925055353506,10,2778,1481109,l1,COMPLETE
338,5029.835736615177,2023-02-25 23:54:09.790546,2023-02-25 23:54:10.523612,0 days 00:00:00.733066,11.0,0.0027413995605364977,1.3,0.0013788771934639156,11,2825,2050549,l1,COMPLETE
625,5030.487361766568,2023-02-25 23:57:08.519691,2023-02-25 23:57:09.490165,0 days 00:00:00.970474,8.7,0.00010876745109535909,1.1,0.004706604080137927,10,2759,1778222,l1,COMPLETE
339,5030.692173119868,2023-02-25 23:54:10.524054,2023-02-25 23:54:11.268745,0 days 00:00:00.744691,10.8,0.0025868465327345863,1.3,0.00027204201347915655,11,2816,1945487,l1,COMPLETE
610,5031.735159069769,2023-02-25 23:56:57.916841,2023-02-25 23:56:58.943938,0 days 00:00:01.027097,10.7,0.00185612192103438,1.2,0.005207927070524945,11,2860,1668816,l1,COMPLETE
600,5032.559974693365,2023-02-25 23:56:50.597144,2023-02-25 23:56:51.818874,0 days 00:00:01.221730,11.4,0.00012310983650158365,1.1,0.007295404516976302,11,2792,1365410,l1,COMPLETE
330,5033.396682159049,2023-02-25 23:54:04.306744,2023-02-25 23:54:05.023982,0 days 00:00:00.717238,11.3,0.00337210899501503,1.3,0.00015941183691933847,11,2865,2888585,l1,COMPLETE
457,5033.574860232975,2023-02-25 23:55:21.361898,2023-02-25 23:55:22.137751,0 days 00:00:00.775853,11.8,0.000179816851797509,1.2,0.010721584399360492,10,2837,2191674,l1,COMPLETE
331,5036.153466026928,2023-02-25 23:54:05.024459,2023-02-25 23:54:05.745504,0 days 00:00:00.721045,11.3,0.003535675730774128,1.3,0.0002400326027016431,11,2866,2862002,l1,COMPLETE
314,5036.498355394777,2023-02-25 23:53:53.979696,2023-02-25 23:53:54.684409,0 days 00:00:00.704713,12.3,0.0046944313791765346,1.3,0.00012475802866984513,11,2919,2969506,l1,COMPLETE
475,5039.742962292017,2023-02-25 23:55:31.950426,2023-02-25 23:55:32.661124,0 days 00:00:00.710698,11.600000000000001,0.00010193806304850352,1.2,0.005715939148342907,10,2745,1440666,l1,COMPLETE
329,5040.881537237686,2023-02-25 23:54:03.558764,2023-02-25 23:54:04.306132,0 days 00:00:00.747368,11.8,0.0033166168620144057,1.3,0.0007994913056713844,11,2867,2920297,l1,COMPLETE
333,5040.997250531702,2023-02-25 23:54:06.463660,2023-02-25 23:54:07.183157,0 days 00:00:00.719497,11.4,0.0029944397947754085,1.3,0.00017627461407539625,11,2860,2846299,l1,COMPLETE
335,5041.058857505934,2023-02-25 23:54:07.620219,2023-02-25 23:54:08.337632,0 days 00:00:00.717413,11.100000000000001,0.0030129866331936876,1.3,0.00017252380856811736,11,2838,2829158,l1,COMPLETE
328,5041.05905956543,2023-02-25 23:54:02.841374,2023-02-25 23:54:03.558317,0 days 00:00:00.716943,11.3,0.003268834136319645,1.3,0.0002959053294700615,11,2880,2554102,l1,COMPLETE
332,5041.3634502927225,2023-02-25 23:54:05.745954,2023-02-25 23:54:06.462027,0 days 00:00:00.716073,11.2,0.0030668764333571016,1.3,0.0017823761711359407,11,2863,2845237,l1,COMPLETE
337,5041.545009010061,2023-02-25 23:54:09.071040,2023-02-25 23:54:09.790051,0 days 00:00:00.719011,11.0,0.003127142820771135,1.3,0.0005649091350910136,11,2820,2823494,l1,COMPLETE
336,5041.545009010061,2023-02-25 23:54:08.338087,2023-02-25 23:54:09.070583,0 days 00:00:00.732496,11.0,0.002934154524955412,1.3,0.0002230283479476432,11,2825,2789489,l1,COMPLETE
324,5043.430681720279,2023-02-25 23:54:00.295312,2023-02-25 23:54:01.002776,0 days 00:00:00.707464,11.7,0.005390275296949817,1.3,0.002030758109729403,11,2892,2672142,l1,COMPLETE
530,5045.558327947471,2023-02-25 23:56:04.811018,2023-02-25 23:56:05.835460,0 days 00:00:01.024442,11.600000000000001,0.00018272289923038283,1.2,0.0066353737888992315,22,2726,1854635,l1,COMPLETE
938,5046.724089591498,2023-02-26 00:01:23.291721,2023-02-26 00:01:24.350394,0 days 00:00:01.058673,11.100000000000001,0.001842767971085198,1.2,0.007338901242190977,11,2771,2810953,l1,COMPLETE
