boosting_type,colsample_bytree,device_type,force_col_wise,learning_rate,max_depth,metric,n_estimators,num_leaves,objective,random_state,reg_alpha,reg_lambda,verbosity,subsample,loss,iteration
goss,0.7958349339836852,gpu,+,0.11119996642263948,5,rmse,443,65,regression,42,0.17187156139656068,0.8123959883573632,-1,1.0,2607.2952532116533,5
goss,0.9764547315469418,gpu,+,0.43744338749486467,5,rmse,381,38,regression,42,0.6810391246607139,0.6921104520712689,-1,1.0,2613.836159806413,18
dart,0.6081403550232632,gpu,+,0.44519855913075723,5,rmse,450,94,regression,42,0.46102756413531204,0.12746997011830885,-1,0.7851514819801819,2617.146505085306,28
gbdt,0.7319728089037019,gpu,+,0.15319315150559434,5,rmse,305,96,regression,42,0.7753643788278823,0.6170793585023162,-1,0.5663178661792632,2621.160538652781,8
gbdt,0.8232671977127016,gpu,+,0.9982991610174758,5,rmse,356,69,regression,42,0.7917118646340808,0.6030590318375748,-1,0.5548073072324332,2628.376322518257,86
gbdt,0.779175048010893,gpu,+,0.08353587854764495,5,rmse,479,95,regression,42,0.2419521623649534,0.5840667039235394,-1,0.9872492608133989,2640.6841272665747,43
dart,0.8139060640484542,gpu,+,0.3990308404588028,5,rmse,321,72,regression,42,0.9393697376027715,0.7340280179855683,-1,0.7295122570754028,2644.8644999859107,7
dart,0.6871468445985569,gpu,+,0.28361723610321166,5,rmse,480,62,regression,42,0.6179750343723932,0.009799601435694735,-1,0.9337298614999587,2646.1396608465,30
gbdt,0.8440235513046739,gpu,+,0.08597849683326474,5,rmse,451,82,regression,42,0.004349438032299757,0.8752866718451577,-1,0.8715993486874087,2646.3407776371687,59
goss,0.760849029947137,gpu,+,0.09598876608834746,5,rmse,372,98,regression,42,0.3072581638887394,0.8814784176329411,-1,1.0,2654.353160352148,13
gbdt,0.7419264787138681,gpu,+,0.08843363857027163,5,rmse,417,61,regression,42,0.9987626321122256,0.5511873797588833,-1,0.6435140544363108,2658.328265613517,92
goss,0.7412335382111885,gpu,+,0.07052711923416696,5,rmse,473,47,regression,42,0.43802918644092326,0.7995534416071729,-1,1.0,2666.055150760312,6
dart,0.9032534895075421,gpu,+,0.3721387367135073,5,rmse,361,96,regression,42,0.5607683033332789,0.9755065364288559,-1,0.6328074176763896,2668.707079086569,94
