depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,130,0.462819253349336,0.11694398410102923,19,13,2575.817936003072,29
9,298,0.7313181375322801,0.09819648356968097,2,3,2579.329591060966,74
8,390,0.48277833283649374,0.09937837538489216,2,15,2580.7520904040493,34
12,109,0.8351878369804501,0.13403101993569816,12,19,2586.2994329632725,64
9,187,0.17708784858106003,0.15187638881263607,15,2,2590.251665977433,94
7,337,0.917236489882043,0.15152253879983402,3,4,2604.395300298428,39
10,484,0.30570096872478675,0.038989074468275195,8,10,2604.619567642468,89
12,108,0.8942034785357657,0.12579704254719942,3,4,2606.3978172495613,69
7,469,0.3954977182743056,0.09636865950205209,8,15,2612.4935258788064,83
8,305,0.04251155081871294,0.10387637567323713,9,8,2614.2898343543065,92
8,121,0.17197110685216474,0.2818169843070712,14,14,2627.5675110266475,7
6,302,0.419977446160683,0.20107736968585346,7,16,2636.688202934353,2
10,119,0.7505667173042777,0.1470442171104859,12,6,2637.4862768111125,53
9,270,0.5389765201970868,0.07886838877361245,12,11,2638.476958290668,13
11,490,0.36952379231282245,0.026607210772133003,14,14,2641.787367615705,86
12,171,0.8658638954374845,0.06504189777836376,16,5,2642.3865054342414,26
9,467,0.8108037079724361,0.043640640047753074,6,2,2645.2232230106624,58
7,237,0.5987739814148059,0.16661881108700113,19,18,2646.8592357472216,57
11,207,0.14994144769744228,0.060097881901430006,2,3,2648.634123110153,77
7,343,0.568698681176084,0.1061639091075329,5,5,2658.221189897811,45
8,141,0.4163807495651473,0.1974970444106806,12,6,2658.49214304249,12
6,382,0.37565221970296936,0.13181010968119405,17,14,2665.2627387111684,35
8,164,0.7633466580777125,0.1545473898671303,19,12,2671.5898248570443,65
10,238,0.5544515140178817,0.057796012644392616,19,17,2686.409525573871,36
11,340,0.4464847093507163,0.030863680077384437,17,5,2699.7885157671594,52
6,229,0.5766265910906975,0.18710197841829518,15,5,2708.2206820820165,62
8,248,0.30139007492876047,0.08386661624554471,10,3,2709.9799616151986,81
6,484,0.12627140163472747,0.08125341287121784,3,12,2717.539101352889,97
7,104,0.11381056696717652,0.2756248842486461,7,2,2730.2461763418205,4
6,249,0.19525939211560334,0.14449435143445982,2,3,2743.518271438934,78
10,144,0.01123923352309708,0.07516068424226315,13,11,2754.483190560753,63
6,160,0.8729354091785827,0.2102163712419476,15,10,2770.215229369353,10
6,349,0.43420239184570175,0.091387037677945,17,13,2776.5265789993696,41
11,451,0.39678929556514925,0.015351885593652886,2,15,2834.424971757054,47
8,283,0.7904039266776666,0.05031873028614335,19,9,2836.0954096468054,40
7,335,0.3503114159032604,0.047840989575365124,19,9,2889.509531037754,93
6,275,0.702393732587802,0.0727362097770397,3,5,2925.853105059569,31
11,126,0.2978543383201014,0.03749772771576737,13,17,2981.769622285135,17
9,184,0.9845567405170191,0.033525092227685176,14,10,3074.179486166039,9
6,118,0.9949191617074353,0.08433746635265155,13,7,3262.5228444019817,49
6,360,0.5286389355411383,0.0159399018896252,7,15,3584.7244892721696,87
6,192,0.3262527785293697,0.0208084971279939,12,11,3814.601547117777,1
12,267,0.5373234627386962,0.004198636993038546,19,4,4650.030534335729,30
10,313,0.3341009857187324,0.00018085962922356758,11,16,9156.006638123705,43
