depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,loss,iteration
12,458,0.9981935204277601,0.09105060477141454,2,3,2451.4543139996026,288
12,470,0.7954405795928076,0.08365097979008274,8,16,2451.5739398366504,239
12,435,0.9510806613817138,0.1880034271295725,6,12,2451.62233756134,42
12,396,0.818500737178068,0.1111876715054277,17,5,2452.6834360158705,26
10,409,0.729431229117852,0.1873270646540873,3,11,2453.0610175710767,182
12,442,0.8859944409846415,0.09060025128999226,6,9,2453.2892240401075,86
12,319,0.9172455144166892,0.1682962251678273,7,16,2454.760980127591,219
12,428,0.887662520666918,0.09269488287849736,19,12,2454.9895458898254,202
12,461,0.7144888742827794,0.19347052401604847,18,11,2455.0420904470725,94
11,412,0.5621850031280617,0.1251355845881304,18,6,2455.705981569964,119
11,379,0.8335481109062121,0.15190494639192062,9,3,2455.7095731051795,168
12,326,0.7214752175907216,0.13541987409582057,17,10,2455.9759248646537,204
12,386,0.7269025553112374,0.10347300248221582,15,10,2456.566074805959,265
12,318,0.5337551682197046,0.15649093071987413,17,4,2457.755702442208,300
12,352,0.7945740641109985,0.1146905808454181,4,17,2457.8373191569467,298
12,441,0.7733454412859657,0.08180392583187641,15,6,2458.4274133445297,209
12,389,0.656745299246887,0.20234522953671746,14,7,2458.466761547998,178
12,287,0.10649970569975953,0.16815001464480128,18,15,2459.458702073999,139
12,296,0.8310450288431672,0.15138282394221259,2,2,2459.749318977957,263
11,445,0.8267974234783907,0.24170192253169903,9,3,2460.0284383772487,51
12,413,0.5414686852386791,0.08629085013337612,16,19,2460.1374936592,72
12,307,0.7644002907985779,0.19083432884214419,17,4,2461.5279562037163,133
12,284,0.4699992771660121,0.17692090891753726,3,10,2461.6086398061625,162
12,263,0.48994605150924025,0.18179416317235036,16,10,2462.0907893481203,112
12,274,0.4758608245699373,0.16300319933190527,3,13,2462.129540758858,205
12,294,0.9601754614147064,0.13234101883528873,14,12,2463.121139730452,272
12,391,0.6927070357590209,0.08902367777267084,7,10,2463.462361148503,152
11,410,0.7593305556801617,0.2585659620956756,14,10,2464.059453317954,223
10,338,0.9077718923218097,0.19606039840645423,2,7,2464.479337957863,142
11,281,0.9411589836356723,0.17554982953390014,13,14,2464.6884129246964,52
12,254,0.13192845471077258,0.18916266797511128,16,10,2465.3475184653757,247
10,437,0.6900310843519651,0.128010386012081,18,19,2465.7545836348054,207
12,323,0.7429079312772179,0.11029677553143655,15,9,2466.331813801917,197
12,262,0.6533190561917686,0.22838058262229644,14,10,2466.603501227867,20
12,383,0.9221944431341392,0.0884319925916009,8,10,2467.408566694641,193
12,292,0.998419026124136,0.12545994569952762,16,16,2467.81945431421,270
12,347,0.8699880624234041,0.0962132068844279,6,9,2468.410653170623,274
12,280,0.5558739862228093,0.21243178057230988,5,5,2468.4692760902644,208
12,482,0.6255126179884202,0.0651514356967644,13,4,2469.283825126909,183
12,434,0.5799119976376718,0.07243945689647519,15,19,2469.613855186318,150
12,230,0.9347007364420346,0.18051135102061852,8,7,2469.9578858027426,294
12,278,0.17122087345739395,0.21930077697511738,17,11,2470.221562629925,114
11,291,0.09155655107345931,0.25598029557793844,10,8,2471.6450333988178,16
