iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
451,2822.59375,2022-06-04 13:07:46.517359,2022-06-04 13:15:24.646705,0 days 00:07:38.129346,155.0,1963.0,120.0,165.0,987.0,1339.0,COMPLETE
211,2822.6083984375,2022-06-03 09:16:39.489695,2022-06-03 09:20:00.376791,0 days 00:03:20.887096,105.0,1974.0,120.0,142.0,997.0,568.0,COMPLETE
262,2822.612060546875,2022-06-03 23:03:34.082360,2022-06-03 23:10:35.509661,0 days 00:07:01.427301,107.0,1926.0,120.0,154.0,988.0,1258.0,COMPLETE
188,2822.6455078125,2022-06-03 08:03:19.507009,2022-06-03 08:06:53.753582,0 days 00:03:34.246573,128.0,1862.0,120.0,172.0,962.0,652.0,COMPLETE
356,2822.653076171875,2022-06-04 05:35:44.158132,2022-06-04 05:38:04.327610,0 days 00:02:20.169478,122.0,1910.0,120.0,196.0,956.0,527.0,COMPLETE
74,2822.654296875,2022-06-02 21:46:29.563759,2022-06-02 21:52:52.364437,0 days 00:06:22.800678,138.0,1920.0,120.0,196.0,895.0,1422.0,COMPLETE
359,2822.6650390625,2022-06-04 05:49:01.326621,2022-06-04 05:51:46.828920,0 days 00:02:45.502299,150.0,1701.0,120.0,165.0,943.0,586.0,COMPLETE
125,2822.686279296875,2022-06-03 03:46:46.781041,2022-06-03 03:49:17.698161,0 days 00:02:30.917120,149.0,1756.0,120.0,185.0,898.0,561.0,COMPLETE
171,2822.688720703125,2022-06-03 06:47:59.986019,2022-06-03 06:55:45.051007,0 days 00:07:45.064988,146.0,1791.0,120.0,164.0,980.0,1401.0,COMPLETE
221,2822.690673828125,2022-06-03 09:51:08.383763,2022-06-03 09:54:16.558605,0 days 00:03:08.174842,89.0,1894.0,120.0,144.0,973.0,542.0,COMPLETE
113,2822.697265625,2022-06-03 02:20:55.861318,2022-06-03 02:28:55.205503,0 days 00:07:59.344185,148.0,1738.0,120.0,164.0,999.0,1392.0,COMPLETE
480,2822.700439453125,2022-06-04 15:56:45.222103,2022-06-04 16:00:09.803457,0 days 00:03:24.581354,140.0,2000.0,120.0,124.0,983.0,567.0,COMPLETE
460,2822.707763671875,2022-06-04 14:10:25.415182,2022-06-04 14:17:15.490873,0 days 00:06:50.075691,147.0,2000.0,120.0,139.0,968.0,1204.0,COMPLETE
319,2822.71923828125,2022-06-04 02:54:38.499645,2022-06-04 03:02:08.040296,0 days 00:07:29.540651,161.0,1922.0,120.0,149.0,986.0,1321.0,COMPLETE
242,2822.736328125,2022-06-03 11:22:40.960279,2022-06-03 11:25:58.187160,0 days 00:03:17.226881,122.0,1922.0,120.0,151.0,983.0,572.0,COMPLETE
77,2822.7470703125,2022-06-02 22:04:39.801335,2022-06-02 22:12:57.630091,0 days 00:08:17.828756,152.0,1995.0,120.0,187.0,975.0,1480.0,COMPLETE
279,2822.749267578125,2022-06-04 00:06:34.429528,2022-06-04 00:12:36.089006,0 days 00:06:01.659478,154.0,1868.0,120.0,185.0,950.0,1336.0,COMPLETE
152,2822.7568359375,2022-06-03 05:04:13.647422,2022-06-03 05:07:18.244443,0 days 00:03:04.597021,141.0,1910.0,120.0,162.0,983.0,542.0,COMPLETE
380,2822.7607421875,2022-06-04 07:19:11.096843,2022-06-04 07:26:37.532667,0 days 00:07:26.435824,156.0,1930.0,120.0,152.0,966.0,1322.0,COMPLETE
335,2822.762451171875,2022-06-04 04:02:59.388297,2022-06-04 04:09:52.266714,0 days 00:06:52.878417,145.0,1752.0,120.0,164.0,986.0,1233.0,COMPLETE
405,2822.765869140625,2022-06-04 09:31:40.245994,2022-06-04 09:35:10.790616,0 days 00:03:30.544622,138.0,1885.0,120.0,154.0,975.0,609.0,COMPLETE
