iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
12,3174.22607421875,2022-06-02 04:25:18.735132,2022-06-02 04:28:05.589170,0 days 00:02:46.854038,69.0,698.0,74.0,70.0,507.0,984.0,COMPLETE
13,3175.50830078125,2022-06-02 04:28:05.589286,2022-06-02 04:30:49.236239,0 days 00:02:43.646953,70.0,692.0,84.0,70.0,488.0,1000.0,COMPLETE
11,3176.157470703125,2022-06-02 04:22:40.382724,2022-06-02 04:25:18.735023,0 days 00:02:38.352299,65.0,687.0,73.0,69.0,497.0,939.0,COMPLETE
10,3176.773681640625,2022-06-02 04:20:14.941983,2022-06-02 04:22:40.382577,0 days 00:02:25.440594,63.0,671.0,74.0,69.0,495.0,865.0,COMPLETE
98,3179.9189453125,2022-06-02 07:04:00.622374,2022-06-02 07:06:03.992790,0 days 00:02:03.370416,70.0,648.0,70.0,70.0,488.0,769.0,COMPLETE
88,3180.534423828125,2022-06-02 06:41:33.514931,2022-06-02 06:43:33.261370,0 days 00:01:59.746439,63.0,675.0,92.0,46.0,496.0,729.0,COMPLETE
60,3181.1279296875,2022-06-02 05:46:49.580668,2022-06-02 05:48:56.164626,0 days 00:02:06.583958,70.0,599.0,143.0,67.0,219.0,936.0,COMPLETE
26,3184.693603515625,2022-06-02 04:50:12.821147,2022-06-02 04:51:49.850189,0 days 00:01:37.029042,66.0,628.0,121.0,49.0,221.0,711.0,COMPLETE
0,3191.74658203125,2022-06-02 04:09:23.150209,2022-06-02 04:10:10.389235,0 days 00:00:47.239026,49.0,645.0,74.0,44.0,135.0,371.0,COMPLETE
22,3196.171875,2022-06-02 04:43:50.443797,2022-06-02 04:45:30.616882,0 days 00:01:40.173085,65.0,653.0,113.0,44.0,250.0,728.0,COMPLETE
40,3197.47265625,2022-06-02 05:13:57.676155,2022-06-02 05:15:20.014419,0 days 00:01:22.338264,40.0,620.0,119.0,35.0,130.0,653.0,COMPLETE
4,3197.828125,2022-06-02 04:12:45.725688,2022-06-02 04:13:38.629046,0 days 00:00:52.903358,51.0,627.0,107.0,31.0,376.0,350.0,COMPLETE
29,3208.287353515625,2022-06-02 04:54:12.369080,2022-06-02 04:56:15.744402,0 days 00:02:03.375322,30.0,634.0,100.0,42.0,353.0,809.0,COMPLETE
28,3215.914794921875,2022-06-02 04:53:15.097694,2022-06-02 04:54:12.368964,0 days 00:00:57.271270,45.0,584.0,126.0,33.0,196.0,439.0,COMPLETE
35,3216.515625,2022-06-02 05:04:16.104678,2022-06-02 05:06:08.089874,0 days 00:01:51.985196,47.0,612.0,130.0,40.0,173.0,855.0,COMPLETE
38,3220.09326171875,2022-06-02 05:10:13.961145,2022-06-02 05:12:06.528425,0 days 00:01:52.567280,37.0,555.0,124.0,41.0,247.0,831.0,COMPLETE
17,3220.29052734375,2022-06-02 04:36:59.999508,2022-06-02 04:38:50.908211,0 days 00:01:50.908703,57.0,596.0,119.0,50.0,330.0,747.0,COMPLETE
97,3222.791259765625,2022-06-02 07:01:50.515348,2022-06-02 07:04:00.622167,0 days 00:02:10.106819,66.0,578.0,114.0,58.0,453.0,797.0,COMPLETE
78,3226.447265625,2022-06-02 06:22:07.574926,2022-06-02 06:23:57.335227,0 days 00:01:49.760301,61.0,544.0,145.0,66.0,488.0,683.0,COMPLETE
6,3236.26220703125,2022-06-02 04:15:03.704537,2022-06-02 04:16:21.238266,0 days 00:01:17.533729,49.0,626.0,80.0,23.0,154.0,607.0,COMPLETE
86,3240.34375,2022-06-02 06:37:39.957439,2022-06-02 06:39:24.819806,0 days 00:01:44.862367,66.0,519.0,128.0,42.0,434.0,671.0,COMPLETE
19,3241.294677734375,2022-06-02 04:39:58.291330,2022-06-02 04:41:07.111411,0 days 00:01:08.820081,43.0,605.0,116.0,48.0,271.0,491.0,COMPLETE
8,3247.243896484375,2022-06-02 04:17:10.034464,2022-06-02 04:19:23.308431,0 days 00:02:13.273967,40.0,576.0,99.0,36.0,400.0,878.0,COMPLETE
5,3254.056396484375,2022-06-02 04:13:38.629154,2022-06-02 04:15:03.704432,0 days 00:01:25.075278,35.0,533.0,144.0,20.0,183.0,662.0,COMPLETE
9,3261.552978515625,2022-06-02 04:19:23.308546,2022-06-02 04:20:14.941861,0 days 00:00:51.633315,56.0,560.0,123.0,53.0,414.0,320.0,COMPLETE
49,3270.114013671875,2022-06-02 05:26:47.192658,2022-06-02 05:28:05.773584,0 days 00:01:18.580926,58.0,498.0,128.0,36.0,237.0,597.0,COMPLETE
7,3288.81494140625,2022-06-02 04:16:21.238380,2022-06-02 04:17:10.034356,0 days 00:00:48.795976,38.0,528.0,90.0,24.0,233.0,370.0,COMPLETE
25,3295.1708984375,2022-06-02 04:48:20.588724,2022-06-02 04:50:12.821023,0 days 00:01:52.232299,61.0,463.0,150.0,55.0,324.0,817.0,COMPLETE
2,3309.4521484375,2022-06-02 04:10:48.511552,2022-06-02 04:11:36.936335,0 days 00:00:48.424783,49.0,510.0,92.0,38.0,141.0,393.0,COMPLETE
39,3311.075927734375,2022-06-02 05:12:06.528545,2022-06-02 05:13:57.676016,0 days 00:01:51.147471,52.0,474.0,132.0,38.0,361.0,763.0,COMPLETE
14,3399.938720703125,2022-06-02 04:30:49.236338,2022-06-02 04:33:18.678068,0 days 00:02:29.441730,69.0,419.0,85.0,59.0,447.0,989.0,COMPLETE
15,3400.79931640625,2022-06-02 04:33:18.678176,2022-06-02 04:35:04.761770,0 days 00:01:46.083594,60.0,443.0,106.0,62.0,299.0,782.0,COMPLETE
51,3431.890869140625,2022-06-02 05:29:05.412571,2022-06-02 05:30:15.609121,0 days 00:01:10.196550,67.0,395.0,123.0,34.0,312.0,530.0,COMPLETE
1,3453.610595703125,2022-06-02 04:10:10.389480,2022-06-02 04:10:48.511449,0 days 00:00:38.121969,36.0,356.0,139.0,61.0,164.0,326.0,COMPLETE
3,3476.484619140625,2022-06-02 04:11:36.936442,2022-06-02 04:12:45.725571,0 days 00:01:08.789129,69.0,366.0,129.0,38.0,144.0,582.0,COMPLETE
59,3504.763916015625,2022-06-02 05:45:29.545893,2022-06-02 05:46:49.580485,0 days 00:01:20.034592,39.0,314.0,136.0,55.0,201.0,672.0,COMPLETE
20,3547.94580078125,2022-06-02 04:41:07.111518,2022-06-02 04:42:11.401763,0 days 00:01:04.290245,31.0,309.0,128.0,57.0,351.0,481.0,COMPLETE
99,,2022-06-02 07:06:03.992933,,,,,,,,,RUNNING
