iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,params_num_boost_round,reg_lambda,subsample,state
176,2314.3526373248087,2023-03-01 01:37:49.390275,2023-03-01 01:39:38.218786,0 days 00:01:48.828511,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
129,2314.3526373248087,2023-03-01 00:09:13.998721,2023-03-01 00:11:03.616587,0 days 00:01:49.617866,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
128,2314.3526373248087,2023-03-01 00:07:19.649898,2023-03-01 00:09:09.669529,0 days 00:01:50.019631,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
127,2314.3526373248087,2023-03-01 00:05:25.352495,2023-03-01 00:07:14.831254,0 days 00:01:49.478759,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
126,2314.3526373248087,2023-03-01 00:03:30.917175,2023-03-01 00:05:20.454093,0 days 00:01:49.536918,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
125,2314.3526373248087,2023-03-01 00:01:37.609462,2023-03-01 00:03:26.532207,0 days 00:01:48.922745,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
124,2314.3526373248087,2023-02-28 23:59:44.299490,2023-03-01 00:01:33.047759,0 days 00:01:48.748269,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
123,2314.3526373248087,2023-02-28 23:57:50.919504,2023-02-28 23:59:40.201211,0 days 00:01:49.281707,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
122,2314.3526373248087,2023-02-28 23:55:56.485737,2023-02-28 23:57:45.830706,0 days 00:01:49.344969,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
121,2314.3526373248087,2023-02-28 23:54:02.741262,2023-02-28 23:55:51.679778,0 days 00:01:48.938516,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
120,2314.3526373248087,2023-02-28 23:52:09.298806,2023-02-28 23:53:58.256668,0 days 00:01:48.957862,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
119,2314.3526373248087,2023-02-28 23:50:15.600607,2023-02-28 23:52:04.704621,0 days 00:01:49.104014,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
117,2314.3526373248087,2023-02-28 23:46:48.792611,2023-02-28 23:48:37.750326,0 days 00:01:48.957715,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
116,2314.3526373248087,2023-02-28 23:44:54.453706,2023-02-28 23:46:44.339787,0 days 00:01:49.886081,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
199,2314.3526373248087,2023-03-01 02:24:31.552145,2023-03-01 02:26:20.116270,0 days 00:01:48.564125,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
177,2314.3526373248087,2023-03-01 01:39:42.687035,2023-03-01 01:41:31.249457,0 days 00:01:48.562422,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
142,2314.3526373248087,2023-03-01 00:33:28.392786,2023-03-01 00:35:17.332115,0 days 00:01:48.939329,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
178,2314.3526373248087,2023-03-01 01:41:39.889871,2023-03-01 01:43:28.850214,0 days 00:01:48.960343,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
143,2314.3526373248087,2023-03-01 00:35:22.097481,2023-03-01 00:37:12.273751,0 days 00:01:50.176270,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
145,2314.3526373248087,2023-03-01 00:39:10.039072,2023-03-01 00:40:58.578141,0 days 00:01:48.539069,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
173,2314.3526373248087,2023-03-01 01:32:08.142756,2023-03-01 01:33:57.084287,0 days 00:01:48.941531,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
172,2314.3526373248087,2023-03-01 01:30:14.921466,2023-03-01 01:32:04.103167,0 days 00:01:49.181701,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
171,2314.3526373248087,2023-03-01 01:28:21.400913,2023-03-01 01:30:10.288183,0 days 00:01:48.887270,0.5,0.6,15.0,7.0,800.0,7.5,0.78,COMPLETE
