iteration,rmse,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,max_depth,min_child_weight,n_estimators,reg_lambda,subsample,state
127,2762.6793216888777,2023-03-01 03:11:59.023726,2023-03-01 03:12:10.958975,0 days 00:00:11.935249,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
128,2762.6793216888777,2023-03-01 03:12:15.342413,2023-03-01 03:12:27.130049,0 days 00:00:11.787636,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
129,2762.6793216888777,2023-03-01 03:12:31.470753,2023-03-01 03:12:43.505984,0 days 00:00:12.035231,0.5,0.7,15,8,700,5.5,0.8,COMPLETE
130,2762.6793216888777,2023-03-01 03:12:48.098956,2023-03-01 03:13:00.045092,0 days 00:00:11.946136,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
131,2762.6793216888777,2023-03-01 03:13:04.198262,2023-03-01 03:13:15.981179,0 days 00:00:11.782917,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
132,2762.6793216888777,2023-03-01 03:13:20.221812,2023-03-01 03:13:31.939239,0 days 00:00:11.717427,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
133,2762.6793216888777,2023-03-01 03:13:36.369471,2023-03-01 03:13:48.182406,0 days 00:00:11.812935,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
126,2762.6793216888777,2023-03-01 03:11:43.030447,2023-03-01 03:11:54.778522,0 days 00:00:11.748075,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
153,2762.6793216888777,2023-03-01 03:19:01.124319,2023-03-01 03:19:13.071440,0 days 00:00:11.947121,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
77,2762.6793216888777,2023-03-01 02:57:10.177307,2023-03-01 02:57:21.998582,0 days 00:00:11.821275,0.5,0.7,15,8,600,5.5,0.8,COMPLETE
75,2762.6793216888777,2023-03-01 02:56:38.021074,2023-03-01 02:56:49.816348,0 days 00:00:11.795274,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
173,2762.6793216888777,2023-03-01 03:24:34.529096,2023-03-01 03:24:46.317559,0 days 00:00:11.788463,0.5,0.7,15,8,800,5.5,0.8,COMPLETE
