iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
417,2418.0222669329764,2023-01-30 22:09:18.977094,2023-01-30 22:09:39.425813,0 days 00:00:20.448719,10,0.8,20,500,20,COMPLETE
131,2418.0222669329764,2023-01-30 19:57:30.593682,2023-01-30 19:57:59.258233,0 days 00:00:28.664551,10,0.8,10,500,15,COMPLETE
289,2418.0222669329764,2023-01-30 21:08:38.273469,2023-01-30 21:08:58.811298,0 days 00:00:20.537829,10,0.8,10,500,15,COMPLETE
109,2418.0222669329764,2023-01-30 19:46:31.367662,2023-01-30 19:46:54.348324,0 days 00:00:22.980662,10,0.8,20,500,15,COMPLETE
111,2418.0222669329764,2023-01-30 19:47:28.786260,2023-01-30 19:48:01.161042,0 days 00:00:32.374782,10,0.8,20,500,15,COMPLETE
382,2418.0222669329764,2023-01-30 21:51:34.182714,2023-01-30 21:51:57.322163,0 days 00:00:23.139449,10,0.8,20,500,15,COMPLETE
253,2418.0222669329764,2023-01-30 20:52:50.513693,2023-01-30 20:53:11.478453,0 days 00:00:20.964760,10,0.8,10,500,15,COMPLETE
254,2418.699451228844,2023-01-30 20:53:16.021508,2023-01-30 20:53:37.053165,0 days 00:00:21.031657,10,0.75,20,500,15,COMPLETE
326,2419.96540335954,2023-01-30 21:25:32.945723,2023-01-30 21:25:53.763646,0 days 00:00:20.817923,10,0.8,10,500,15,COMPLETE
322,2419.96540335954,2023-01-30 21:23:49.109958,2023-01-30 21:24:09.620438,0 days 00:00:20.510480,10,0.8,10,500,15,COMPLETE
325,2419.96540335954,2023-01-30 21:25:07.093981,2023-01-30 21:25:27.595650,0 days 00:00:20.501669,10,0.8,10,500,15,COMPLETE
353,2419.96540335954,2023-01-30 21:37:56.561810,2023-01-30 21:38:17.547094,0 days 00:00:20.985284,10,0.8,10,500,15,COMPLETE
357,2419.96540335954,2023-01-30 21:39:47.039100,2023-01-30 21:40:08.350874,0 days 00:00:21.311774,10,0.8,10,500,15,COMPLETE
354,2419.96540335954,2023-01-30 21:38:21.872053,2023-01-30 21:38:43.059224,0 days 00:00:21.187171,10,0.8,10,500,15,COMPLETE
323,2419.96540335954,2023-01-30 21:24:14.445745,2023-01-30 21:24:35.244547,0 days 00:00:20.798802,10,0.8,10,500,15,COMPLETE
355,2419.96540335954,2023-01-30 21:38:55.313065,2023-01-30 21:39:16.408371,0 days 00:00:21.095306,10,0.8,10,500,15,COMPLETE
356,2419.96540335954,2023-01-30 21:39:20.811934,2023-01-30 21:39:42.093592,0 days 00:00:21.281658,10,0.8,10,500,15,COMPLETE
324,2419.96540335954,2023-01-30 21:24:42.726690,2023-01-30 21:25:02.843266,0 days 00:00:20.116576,10,0.8,10,500,15,COMPLETE
327,2419.96540335954,2023-01-30 21:25:58.934693,2023-01-30 21:26:19.535248,0 days 00:00:20.600555,10,0.8,10,500,15,COMPLETE
337,2419.96540335954,2023-01-30 21:30:18.802204,2023-01-30 21:30:39.630003,0 days 00:00:20.827799,10,0.8,10,500,15,COMPLETE
328,2419.96540335954,2023-01-30 21:26:24.213969,2023-01-30 21:26:44.693903,0 days 00:00:20.479934,10,0.8,10,500,15,COMPLETE
338,2419.96540335954,2023-01-30 21:30:44.232207,2023-01-30 21:31:07.100934,0 days 00:00:22.868727,10,0.8,10,500,15,COMPLETE
335,2419.96540335954,2023-01-30 21:29:26.199136,2023-01-30 21:29:48.999736,0 days 00:00:22.800600,10,0.8,10,500,15,COMPLETE
339,2419.96540335954,2023-01-30 21:31:11.257657,2023-01-30 21:31:31.896791,0 days 00:00:20.639134,10,0.8,10,500,15,COMPLETE
341,2419.96540335954,2023-01-30 21:32:15.780517,2023-01-30 21:32:38.459092,0 days 00:00:22.678575,10,0.8,10,500,15,COMPLETE
343,2419.96540335954,2023-01-30 21:33:10.464893,2023-01-30 21:33:30.373016,0 days 00:00:19.908123,10,0.8,10,500,15,COMPLETE
344,2419.96540335954,2023-01-30 21:33:35.127018,2023-01-30 21:33:56.406261,0 days 00:00:21.279243,10,0.8,10,500,15,COMPLETE
334,2419.96540335954,2023-01-30 21:28:58.742476,2023-01-30 21:29:19.925059,0 days 00:00:21.182583,10,0.8,10,500,15,COMPLETE
352,2419.96540335954,2023-01-30 21:37:26.521378,2023-01-30 21:37:51.684176,0 days 00:00:25.162798,10,0.8,10,500,15,COMPLETE
333,2419.96540335954,2023-01-30 21:28:33.093538,2023-01-30 21:28:53.672271,0 days 00:00:20.578733,10,0.8,10,500,15,COMPLETE
346,2419.96540335954,2023-01-30 21:34:29.776792,2023-01-30 21:35:05.523536,0 days 00:00:35.746744,10,0.8,10,500,15,COMPLETE
332,2419.96540335954,2023-01-30 21:28:07.567882,2023-01-30 21:28:28.484696,0 days 00:00:20.916814,10,0.8,10,500,15,COMPLETE
331,2419.96540335954,2023-01-30 21:27:41.968323,2023-01-30 21:28:02.496093,0 days 00:00:20.527770,10,0.8,10,500,15,COMPLETE
349,2419.96540335954,2023-01-30 21:36:05.696284,2023-01-30 21:36:25.950975,0 days 00:00:20.254691,10,0.8,10,500,15,COMPLETE
350,2419.96540335954,2023-01-30 21:36:32.337655,2023-01-30 21:36:52.739899,0 days 00:00:20.402244,10,0.8,10,500,15,COMPLETE
330,2419.96540335954,2023-01-30 21:27:16.903037,2023-01-30 21:27:37.192926,0 days 00:00:20.289889,10,0.8,10,500,15,COMPLETE
329,2419.96540335954,2023-01-30 21:26:52.273666,2023-01-30 21:27:12.302161,0 days 00:00:20.028495,10,0.8,10,500,15,COMPLETE
345,2419.96540335954,2023-01-30 21:34:01.574805,2023-01-30 21:34:22.978825,0 days 00:00:21.404020,10,0.8,10,500,15,COMPLETE
0,2419.96540335954,2023-01-30 18:57:10.122438,2023-01-30 18:57:30.462396,0 days 00:00:20.339958,10,0.8,10,500,20,COMPLETE
312,2419.96540335954,2023-01-30 21:19:27.987652,2023-01-30 21:19:49.153107,0 days 00:00:21.165455,10,0.8,10,500,15,COMPLETE
319,2419.96540335954,2023-01-30 21:22:33.424817,2023-01-30 21:22:54.233627,0 days 00:00:20.808810,10,0.8,10,500,15,COMPLETE
280,2419.96540335954,2023-01-30 21:04:41.855633,2023-01-30 21:05:02.828288,0 days 00:00:20.972655,10,0.8,20,500,15,COMPLETE
279,2419.96540335954,2023-01-30 21:04:14.977425,2023-01-30 21:04:35.366509,0 days 00:00:20.389084,10,0.8,10,500,15,COMPLETE
278,2419.96540335954,2023-01-30 21:03:49.600067,2023-01-30 21:04:10.264695,0 days 00:00:20.664628,10,0.8,20,500,15,COMPLETE
277,2419.96540335954,2023-01-30 21:03:25.259690,2023-01-30 21:03:45.552495,0 days 00:00:20.292805,10,0.8,10,500,15,COMPLETE
276,2419.96540335954,2023-01-30 21:02:59.711663,2023-01-30 21:03:20.257645,0 days 00:00:20.545982,10,0.8,10,500,15,COMPLETE
275,2419.96540335954,2023-01-30 21:02:31.642846,2023-01-30 21:02:52.527559,0 days 00:00:20.884713,10,0.8,20,500,15,COMPLETE
274,2419.96540335954,2023-01-30 21:02:00.132755,2023-01-30 21:02:20.571912,0 days 00:00:20.439157,10,0.8,10,500,15,COMPLETE
273,2419.96540335954,2023-01-30 21:01:35.264569,2023-01-30 21:01:55.668703,0 days 00:00:20.404134,10,0.8,20,500,15,COMPLETE
272,2419.96540335954,2023-01-30 21:01:09.139042,2023-01-30 21:01:30.496044,0 days 00:00:21.357002,10,0.8,10,500,15,COMPLETE
271,2419.96540335954,2023-01-30 21:00:43.089420,2023-01-30 21:01:04.460270,0 days 00:00:21.370850,10,0.8,20,500,15,COMPLETE
270,2419.96540335954,2023-01-30 21:00:10.604844,2023-01-30 21:00:38.381680,0 days 00:00:27.776836,10,0.8,10,500,15,COMPLETE
269,2419.96540335954,2023-01-30 20:59:43.162563,2023-01-30 21:00:03.544607,0 days 00:00:20.382044,10,0.8,20,500,15,COMPLETE
268,2419.96540335954,2023-01-30 20:59:17.798298,2023-01-30 20:59:38.297989,0 days 00:00:20.499691,10,0.8,10,500,15,COMPLETE
266,2419.96540335954,2023-01-30 20:58:26.837545,2023-01-30 20:58:48.006016,0 days 00:00:21.168471,10,0.8,20,500,15,COMPLETE
265,2419.96540335954,2023-01-30 20:58:01.406656,2023-01-30 20:58:21.860498,0 days 00:00:20.453842,10,0.8,10,500,15,COMPLETE
264,2419.96540335954,2023-01-30 20:57:36.075861,2023-01-30 20:57:57.015690,0 days 00:00:20.939829,10,0.8,20,500,15,COMPLETE
262,2419.96540335954,2023-01-30 20:56:43.260455,2023-01-30 20:57:04.547544,0 days 00:00:21.287089,10,0.8,20,500,15,COMPLETE
261,2419.96540335954,2023-01-30 20:56:17.784072,2023-01-30 20:56:38.565873,0 days 00:00:20.781801,10,0.8,10,500,15,COMPLETE
260,2419.96540335954,2023-01-30 20:55:52.361927,2023-01-30 20:56:12.941251,0 days 00:00:20.579324,10,0.8,10,500,15,COMPLETE
259,2419.96540335954,2023-01-30 20:55:24.648849,2023-01-30 20:55:45.914237,0 days 00:00:21.265388,10,0.8,20,500,15,COMPLETE
258,2419.96540335954,2023-01-30 20:54:59.105560,2023-01-30 20:55:20.207319,0 days 00:00:21.101759,10,0.8,10,500,15,COMPLETE
257,2419.96540335954,2023-01-30 20:54:32.768875,2023-01-30 20:54:54.201778,0 days 00:00:21.432903,10,0.8,20,500,15,COMPLETE
255,2419.96540335954,2023-01-30 20:53:41.259152,2023-01-30 20:54:01.741912,0 days 00:00:20.482760,10,0.8,10,500,15,COMPLETE
281,2419.96540335954,2023-01-30 21:05:09.030049,2023-01-30 21:05:29.196998,0 days 00:00:20.166949,10,0.8,10,500,15,COMPLETE
320,2419.96540335954,2023-01-30 21:22:58.880099,2023-01-30 21:23:18.971206,0 days 00:00:20.091107,10,0.8,10,500,15,COMPLETE
