iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
360,2419.96540335954,2023-01-30 14:36:13.213031,2023-01-30 14:36:34.479296,0 days 00:00:21.266265,10,0.8,20,500,5,COMPLETE
357,2419.96540335954,2023-01-30 14:34:56.695053,2023-01-30 14:35:17.782201,0 days 00:00:21.087148,10,0.8,20,500,5,COMPLETE
356,2419.96540335954,2023-01-30 14:34:19.453039,2023-01-30 14:34:52.539094,0 days 00:00:33.086055,10,0.8,20,500,5,COMPLETE
355,2419.96540335954,2023-01-30 14:33:52.154680,2023-01-30 14:34:13.226102,0 days 00:00:21.071422,10,0.8,20,500,5,COMPLETE
354,2419.96540335954,2023-01-30 14:33:26.575039,2023-01-30 14:33:47.665555,0 days 00:00:21.090516,10,0.8,20,500,5,COMPLETE
353,2419.96540335954,2023-01-30 14:32:58.088596,2023-01-30 14:33:20.191775,0 days 00:00:22.103179,10,0.8,20,500,5,COMPLETE
352,2419.96540335954,2023-01-30 14:32:29.814637,2023-01-30 14:32:50.649919,0 days 00:00:20.835282,10,0.8,20,500,5,COMPLETE
350,2419.96540335954,2023-01-30 14:31:36.928541,2023-01-30 14:31:57.556511,0 days 00:00:20.627970,10,0.8,20,500,5,COMPLETE
328,2419.96540335954,2023-01-30 14:20:51.549766,2023-01-30 14:21:12.378876,0 days 00:00:20.829110,10,0.8,20,500,10,COMPLETE
346,2419.96540335954,2023-01-30 14:29:36.096420,2023-01-30 14:29:57.335389,0 days 00:00:21.238969,10,0.8,20,500,5,COMPLETE
358,2419.96540335954,2023-01-30 14:35:22.030971,2023-01-30 14:35:43.555194,0 days 00:00:21.524223,10,0.8,20,500,5,COMPLETE
327,2419.96540335954,2023-01-30 14:20:24.160266,2023-01-30 14:20:46.465131,0 days 00:00:22.304865,10,0.8,20,500,5,COMPLETE
249,2419.96540335954,2023-01-30 13:40:30.393380,2023-01-30 13:40:52.955446,0 days 00:00:22.562066,10,0.8,20,500,5,COMPLETE
325,2419.96540335954,2023-01-30 14:19:29.711756,2023-01-30 14:19:51.148356,0 days 00:00:21.436600,10,0.8,20,500,5,COMPLETE
274,2419.96540335954,2023-01-30 13:53:16.957537,2023-01-30 13:53:43.173879,0 days 00:00:26.216342,10,0.8,20,500,5,COMPLETE
273,2419.96540335954,2023-01-30 13:52:50.632788,2023-01-30 13:53:12.751842,0 days 00:00:22.119054,10,0.8,20,500,5,COMPLETE
272,2419.96540335954,2023-01-30 13:52:19.239997,2023-01-30 13:52:46.418337,0 days 00:00:27.178340,10,0.8,20,500,5,COMPLETE
271,2419.96540335954,2023-01-30 13:51:39.641628,2023-01-30 13:52:12.298584,0 days 00:00:32.656956,10,0.8,20,500,5,COMPLETE
270,2419.96540335954,2023-01-30 13:51:10.382815,2023-01-30 13:51:32.348706,0 days 00:00:21.965891,10,0.8,20,500,20,COMPLETE
268,2419.96540335954,2023-01-30 13:50:14.601438,2023-01-30 13:50:36.519378,0 days 00:00:21.917940,10,0.8,20,500,5,COMPLETE
